 JDAY,WB,VOLIN(m3),VOLPR(m3),VOLOUT(m3),VOLWD(m3),VOLEV(m3),VOLDT(m3),VOLTRB(m3),VOLICE(m3),%VOLerror,
     1.000,   1,  0.20150000E+03,   0.00000000E+00,  -0.18365950E+04,   0.00000000E+00,   0.00000000E+00,   0.15000000E+02,   0.78250000E+02,   0.00000000E+00,  -0.48885831E-10,
    15.000,   1,  0.57832796E+08,   0.00000000E+00,  -0.26035859E+09,   0.00000000E+00,   0.00000000E+00,   0.37142405E+07,   0.19373880E+08,   0.00000000E+00,  -0.94669769E-12,
