$Concentration file for segment 36

JDAY,           Gen1,           ISS1,
    20.800,    11.691,     0.222,
    20.901,    11.485,     0.232,
    21.000,    11.296,     0.243,
    21.100,    11.121,     0.253,
    21.201,    10.958,     0.263,
    21.301,    10.808,     0.274,
    21.400,    10.678,     0.286,
    21.501,    10.519,     0.299,
    21.600,    10.366,     0.312,
    21.700,    10.197,     0.327,
    21.801,    10.007,     0.343,
    21.901,     9.768,     0.364,
    22.000,     9.496,     0.386,
    22.101,     9.263,     0.402,
    22.201,     9.017,     0.416,
    22.300,     8.749,     0.431,
    22.400,     8.454,     0.447,
    22.500,     8.141,     0.463,
    22.600,     7.807,     0.480,
    22.700,     7.445,     0.497,
    22.800,     7.140,     0.510,
    22.900,     6.823,     0.518,
    23.000,     6.509,     0.521,
    23.100,     6.175,     0.522,
    23.200,     5.866,     0.520,
    23.303,     5.594,     0.516,
    23.400,     5.346,     0.510,
    23.500,     5.111,     0.502,
    23.600,     4.906,     0.493,
    23.703,     4.724,     0.484,
    23.800,     4.557,     0.476,
    23.903,     4.403,     0.469,
    24.000,     4.293,     0.463,
    24.100,     4.225,     0.459,
    24.202,     4.187,     0.458,
    24.302,     4.169,     0.458,
    24.400,     4.156,     0.458,
    24.500,     4.149,     0.457,
    24.602,     4.138,     0.455,
    24.700,     4.119,     0.451,
    24.802,     4.088,     0.447,
    24.902,     4.041,     0.443,
    25.000,     3.980,     0.440,
    25.101,     3.910,     0.439,
    25.201,     3.827,     0.439,
    25.300,     3.731,     0.440,
    25.401,     3.634,     0.442,
    25.500,     3.535,     0.445,
    25.600,     3.432,     0.451,
    25.701,     3.328,     0.458,
    25.801,     3.224,     0.465,
    25.900,     3.114,     0.475,
    26.000,     3.001,     0.491,
    26.101,     2.884,     0.513,
    26.200,     2.766,     0.541,
    26.300,     2.647,     0.572,
    26.400,     2.529,     0.605,
    26.500,     2.410,     0.633,
    26.600,     2.287,     0.658,
    26.700,     2.156,     0.680,
    26.800,     2.007,     0.704,
    26.902,     1.841,     0.727,
    27.000,     1.672,     0.748,
    27.100,     1.497,     0.768,
    27.202,     1.328,     0.788,
    27.302,     1.165,     0.808,
    27.400,     1.010,     0.830,
    27.500,     0.865,     0.854,
    27.601,     0.714,     0.871,
    27.700,     0.581,     0.884,
    27.801,     0.418,     0.933,
    27.900,     0.243,     1.003,
