JDAY,DLT(s),ELWS(m),T2(C),U(ms-1),Q(m3s-1),SRON(Wm-2),EXT(m-1),DEPTH(m),WIDTH(m),SHADE,Tvolavg(C),NetRad(Wm-2),SWSolar(Wm-2),LWRad(Wm-2),BackRad(Wm-2),EvapF(Wm-2),ConducF(Wm-2),ReaerationCoeff(day-1),           Gen1,           ISS1,     EPI(g/m2),     SED(Organic matter in sediments g/m3),    SEDP(OrgP in sediments gP/m3),    SEDN(OrgN in sediments gN/m3),    SEDC(OrgCSediments gC/m3),PLIM_ALG1           ,PLIM_ALG2           ,PLIM_ALG3           ,NLIM_ALG1           ,NLIM_ALG2           ,NLIM_ALG3           ,LLIM_ALG1           ,LLIM_ALG2           ,LLIM_ALG3           ,EPLIM_1,ENLIM_1,ELLIM_1,
     1.000,     5.000,   468.080,     9.000,     0.000,     0.029,     0.000,     0.450,    28.810,   514.300,     1.000,     9.000,  -272.480,     0.000,   231.734,   349.198,    90.104,    64.912,     0.000,         0.000,         0.000,        10.000,     0.000,     0.000,     0.000,     0.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,
     1.101,   400.435,   467.975,     8.976,     0.053,   193.222,     0.000,     0.450,    28.705,   514.300,     1.000,     8.976,  -271.011,     0.000,   231.363,   349.081,    88.905,    64.389,     0.000,         0.101,         0.000,         9.898,     0.000,     0.000,     0.000,     0.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         0.000,         0.000,         0.000,
     1.201,   799.117,   467.863,     8.955,     0.050,   165.746,     0.000,     0.450,    28.593,   514.300,     1.000,     8.955,  -269.594,     0.000,   230.990,   348.970,    87.733,    63.881,     0.000,         0.201,         0.000,         9.799,     0.000,     0.000,     0.000,     0.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         0.000,         0.000,         0.000,
     1.300,   797.569,   467.767,     8.931,     0.051,   185.276,   327.391,     0.450,    28.497,   514.300,     1.000,     8.930,    40.599,   308.859,   230.649,   348.852,    86.653,    63.404,     0.000,         0.300,         0.000,         9.701,     0.000,     0.000,     0.000,     0.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         0.000,         0.000,         0.979,
     1.400,   795.131,   467.677,     8.905,     0.047,   149.953,     0.000,     0.450,    28.407,   514.300,     1.000,     8.915,  -266.940,     0.000,   230.284,   348.747,    85.550,    62.927,     0.000,         0.400,         0.000,         9.604,     0.000,     0.000,     0.000,     0.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         0.000,         0.000,         0.000,
     1.500,   792.708,   467.608,     8.888,     0.047,   142.202,     0.000,     0.450,    28.338,   514.300,     1.000,     8.888,  -265.720,     0.000,   229.918,   348.662,    84.493,    62.483,     0.000,         0.500,         0.000,         9.507,     0.000,     0.000,     0.000,     0.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         0.000,         0.000,         0.000,
     1.600,   790.277,   467.542,     8.873,     0.047,   141.900,   329.240,     0.450,    28.272,   514.300,     1.000,     8.873,    46.101,   310.604,   229.553,   348.568,    83.449,    62.039,     0.000,         0.600,         0.000,         9.412,     0.000,     0.000,     0.000,     0.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         0.000,         0.000,         0.988,
     1.700,   787.842,   467.476,     8.837,     0.047,   141.058,     0.000,     0.450,    28.206,   514.300,     1.000,     8.837,  -263.088,     0.000,   229.190,   348.409,    82.338,    61.531,     0.000,         0.700,         0.000,         9.317,     0.000,     0.000,     0.000,     0.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         0.000,         0.000,         0.000,
     1.801,   785.390,   467.406,     8.814,     0.049,   147.831,   330.470,     0.450,    28.136,   514.300,     1.000,     8.816,    49.994,   311.764,   228.826,   348.268,    81.272,    61.055,     0.000,         0.801,         0.000,         9.222,     0.000,     0.000,     0.000,     0.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         0.000,         0.000,         0.992,
     1.900,   782.986,   467.338,     8.791,     0.049,   143.106,     0.000,     0.450,    28.068,   514.300,     1.000,     8.791,  -260.698,     0.000,   228.470,   348.182,    80.325,    60.660,     0.000,         0.900,         0.000,         9.131,     0.000,     0.000,     0.000,     0.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         0.000,         0.000,         0.000,
