JDAY,DLT(s),ELWS(m),T2(C),U(ms-1),Q(m3s-1),SRON(Wm-2),EXT(m-1),DEPTH(m),WIDTH(m),SHADE,Tvolavg(C),NetRad(Wm-2),SWSolar(Wm-2),LWRad(Wm-2),BackRad(Wm-2),EvapF(Wm-2),ConducF(Wm-2),ReaerationCoeff(day-1),           Gen1,           ISS1,     EPI(g/m2),     SED(Organic matter in sediments g/m3),    SEDP(OrgP in sediments gP/m3),    SEDN(OrgN in sediments gN/m3),    SEDC(OrgCSediments gC/m3),PLIM_ALG1           ,PLIM_ALG2           ,PLIM_ALG3           ,NLIM_ALG1           ,NLIM_ALG2           ,NLIM_ALG3           ,LLIM_ALG1           ,LLIM_ALG2           ,LLIM_ALG3           ,EPLIM_1,ENLIM_1,ELLIM_1,
     1.000,     5.000,   468.077,     9.000,     0.024,     0.000,     0.000,     0.450,    45.977,   624.100,     1.000,     9.000,  -272.480,     0.000,   231.734,   349.198,    90.104,    64.912,     0.000,         0.000,         0.000,        10.000,     0.000,     0.000,     0.000,     0.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,
     1.101,   400.435,   467.951,     8.984,     0.027,     0.000,     0.000,     0.450,    45.851,   624.100,     1.000,     8.984,  -271.167,     0.000,   231.363,   349.122,    88.969,    64.440,     0.000,         0.101,         0.000,         9.898,     0.000,     0.000,     0.000,     0.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         0.000,         0.000,         0.000,
     1.201,   799.117,   467.860,     8.971,     0.015,     0.000,     0.000,     0.450,    45.760,   624.100,     1.000,     8.971,  -269.918,     0.000,   230.990,   349.056,    87.865,    63.988,     0.000,         0.201,         0.000,         9.799,     0.000,     0.000,     0.000,     0.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         0.000,         0.000,         0.000,
     1.300,   797.569,   467.768,     8.955,     0.021,     0.000,   327.391,     0.450,    45.668,   624.100,     1.000,     8.956,    40.159,   308.859,   230.649,   348.970,    86.831,    63.548,     0.000,         0.300,         0.000,         9.701,     0.000,     0.000,     0.000,     0.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         0.000,         0.000,         0.979,
     1.400,   795.131,   467.678,     8.937,     0.016,     0.000,     0.000,     0.450,    45.578,   624.100,     1.000,     8.946,  -267.512,     0.000,   230.284,   348.902,    85.780,    63.114,     0.000,         0.400,         0.000,         9.604,     0.000,     0.000,     0.000,     0.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         0.000,         0.000,         0.000,
     1.500,   792.708,   467.608,     8.930,     0.016,     0.000,     0.000,     0.450,    45.508,   624.100,     1.000,     8.930,  -266.396,     0.000,   229.918,   348.848,    84.764,    62.703,     0.000,         0.500,         0.000,         9.507,     0.000,     0.000,     0.000,     0.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         0.000,         0.000,         0.000,
     1.600,   790.277,   467.542,     8.921,     0.015,     0.000,   329.240,     0.450,    45.442,   624.100,     1.000,     8.921,    45.245,   310.604,   229.553,   348.805,    83.790,    62.316,     0.000,         0.600,         0.000,         9.412,     0.000,     0.000,     0.000,     0.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         0.000,         0.000,         0.988,
     1.700,   787.842,   467.476,     8.899,     0.014,     0.000,     0.000,     0.450,    45.376,   624.100,     1.000,     8.899,  -264.166,     0.000,   229.190,   348.711,    82.766,    61.880,     0.000,         0.700,         0.000,         9.317,     0.000,     0.000,     0.000,     0.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         0.000,         0.000,         0.000,
     1.801,   785.390,   467.407,     8.886,     0.016,     0.000,   330.470,     0.450,    45.307,   624.100,     1.000,     8.887,    48.742,   311.764,   228.826,   348.622,    81.767,    61.459,     0.000,         0.801,         0.000,         9.222,     0.000,     0.000,     0.000,     0.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         0.000,         0.000,         0.992,
     1.900,   782.986,   467.338,     8.873,     0.015,     0.000,     0.000,     0.450,    45.238,   624.100,     1.000,     8.873,  -262.096,     0.000,   228.470,   348.581,    80.875,    61.109,     0.000,         0.900,         0.000,         9.131,     0.000,     0.000,     0.000,     0.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         0.000,         0.000,         0.000,
