JDAY,DLT(s),ELWS(m),T2(C),U(ms-1),Q(m3s-1),SRON(Wm-2),EXT(m-1),DEPTH(m),WIDTH(m),SHADE,Tvolavg(C),NetRad(Wm-2),SWSolar(Wm-2),LWRad(Wm-2),BackRad(Wm-2),EvapF(Wm-2),ConducF(Wm-2),ReaerationCoeff(day-1),           Gen1,           ISS1,     EPI(g/m2),     SED(Organic matter in sediments g/m3),    SEDP(OrgP in sediments gP/m3),    SEDN(OrgN in sediments gN/m3),    SEDC(OrgCSediments gC/m3),PLIM_ALG1           ,PLIM_ALG2           ,PLIM_ALG3           ,NLIM_ALG1           ,NLIM_ALG2           ,NLIM_ALG3           ,LLIM_ALG1           ,LLIM_ALG2           ,LLIM_ALG3           ,EPLIM_1,ENLIM_1,ELLIM_1,
     1.000,     5.000,   468.080,     9.000,    -0.000,    -0.028,     0.000,     0.450,    22.750,   350.800,     1.000,     9.000,  -272.480,     0.000,   231.734,   349.198,    90.104,    64.912,     0.000,         0.000,         0.000,        10.000,     0.000,     0.000,     0.000,     0.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,
     1.101,   400.435,   467.994,     8.967,     0.008,   121.098,     0.000,     0.450,    22.664,   350.800,     1.000,     8.967,  -270.861,     0.000,   231.363,   349.041,    88.844,    64.339,     0.000,         0.101,         0.000,         9.898,     0.000,     0.000,     0.000,     0.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         0.000,         0.000,         0.000,
     1.201,   799.117,   467.868,     8.936,     0.010,   135.221,     0.000,     0.450,    22.538,   350.800,     1.000,     8.936,  -269.268,     0.000,   230.990,   348.883,    87.601,    63.774,     0.000,         0.201,         0.000,         9.799,     0.000,     0.000,     0.000,     0.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         0.000,         0.000,         0.000,
     1.300,   797.569,   467.767,     8.898,     0.012,   141.985,   327.391,     0.450,    22.437,   350.800,     1.000,     8.898,    41.194,   308.859,   230.649,   348.692,    86.414,    63.209,     0.000,         0.300,         0.000,         9.701,     0.000,     0.000,     0.000,     0.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         0.000,         0.000,         0.979,
     1.400,   795.131,   467.677,     8.858,     0.003,   116.835,     0.000,     0.450,    22.347,   350.800,     1.000,     8.871,  -266.142,     0.000,   230.284,   348.530,    85.230,    62.666,     0.000,         0.400,         0.000,         9.604,     0.000,     0.000,     0.000,     0.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         0.000,         0.000,         0.000,
     1.500,   792.708,   467.608,     8.832,     0.002,   112.881,     0.000,     0.450,    22.278,   350.800,     1.000,     8.832,  -264.732,     0.000,   229.918,   348.391,    84.098,    62.161,     0.000,         0.500,         0.000,         9.507,     0.000,     0.000,     0.000,     0.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         0.000,         0.000,         0.000,
     1.600,   790.277,   467.542,     8.806,     0.002,   112.534,   329.240,     0.450,    22.212,   350.800,     1.000,     8.806,    47.304,   310.604,   229.553,   348.235,    82.970,    61.648,     0.000,         0.600,         0.000,         9.412,     0.000,     0.000,     0.000,     0.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         0.000,         0.000,         0.988,
     1.700,   787.842,   467.476,     8.752,     0.001,   112.269,     0.000,     0.450,    22.146,   350.800,     1.000,     8.752,  -261.618,     0.000,   229.190,   347.998,    81.756,    61.055,     0.000,         0.700,         0.000,         9.317,     0.000,     0.000,     0.000,     0.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         0.000,         0.000,         0.000,
     1.801,   785.390,   467.406,     8.717,     0.002,   117.498,   330.470,     0.450,    22.076,   350.800,     1.000,     8.717,    51.697,   311.764,   228.826,   347.787,    80.601,    60.505,     0.000,         0.801,         0.000,         9.222,     0.000,     0.000,     0.000,     0.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         0.000,         0.000,         0.992,
     1.900,   782.986,   467.339,     8.678,     0.000,   112.911,     0.000,     0.450,    22.009,   350.800,     1.000,     8.678,  -258.774,     0.000,   228.470,   347.633,    79.570,    60.041,     0.000,         0.899,         0.000,         9.131,     0.001,     0.000,     0.000,     0.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         0.000,         0.000,         0.000,
     2.000,   780.555,   467.270,     8.628,     0.000,   112.670,     0.000,     0.450,    21.940,   350.800,     1.000,     8.628,  -257.190,     0.000,   228.112,   347.385,    78.433,    59.483,     0.000,         0.999,         0.000,         9.039,     0.001,     0.000,     0.000,     0.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         0.000,         0.000,         0.000,
     2.100,   778.122,   467.201,     8.562,    -0.001,   115.153,     0.000,     0.450,    21.871,   350.800,     1.000,     8.585,  -260.687,     0.000,   228.677,   347.175,    81.338,    60.851,     0.000,         1.099,         0.000,         8.948,     0.001,     0.000,     0.000,     0.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         0.000,         0.000,         0.000,
     2.200,   775.694,   467.130,     8.569,    -0.002,   114.953,   666.812,     0.450,    21.800,   350.800,     1.000,     8.567,   363.732,   629.068,   229.337,   347.017,    85.034,    62.622,     0.000,         1.199,         0.000,         8.858,     0.001,     0.000,     0.000,     0.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         0.000,         0.000,         0.726,
     2.301,   773.240,   467.059,     8.560,    -0.008,   113.928,     0.000,     0.450,    21.729,   350.800,     1.000,     8.559,  -271.408,     0.000,   230.010,   347.089,    89.470,    64.860,     0.000,         1.299,         0.000,         8.768,     0.001,     0.000,     0.000,     0.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         0.000,         0.000,         0.000,
     2.400,   770.828,   466.989,     8.549,    -0.006,   113.569,   447.958,     0.450,    21.659,   350.800,     1.000,     8.550,   145.527,   422.602,   230.678,   346.950,    93.862,    66.941,     0.000,         1.398,         0.000,         8.681,     0.001,     0.000,     0.000,     0.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         0.000,         0.000,         0.936,
     2.500,   768.402,   466.919,     8.511,     0.006,   112.823,     0.000,     0.450,    21.589,   350.800,     1.000,     8.524,  -283.394,     0.000,   231.357,   346.852,    98.686,    69.213,     0.000,         1.498,         0.000,         8.594,     0.001,     0.000,     0.000,     0.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         0.000,         0.000,         0.000,
     2.600,   765.968,   466.849,     8.454,    -0.003,   114.073,     0.000,     0.450,    21.519,   350.800,     1.000,     8.483,  -289.876,     0.000,   232.043,   346.688,   103.734,    71.497,     0.000,         1.598,         0.000,         8.507,     0.001,     0.000,     0.000,     0.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         0.000,         0.000,         0.000,
