JDAY,DLT(s),ELWS(m),T2(C),U(ms-1),Q(m3s-1),SRON(Wm-2),EXT(m-1),DEPTH(m),WIDTH(m),SHADE,Tvolavg(C),NetRad(Wm-2),SWSolar(Wm-2),LWRad(Wm-2),BackRad(Wm-2),EvapF(Wm-2),ConducF(Wm-2),ReaerationCoeff(day-1),           Gen1,           ISS1,     EPI(g/m2),     SED(Organic matter in sediments g/m3),    SEDP(OrgP in sediments gP/m3),    SEDN(OrgN in sediments gN/m3),    SEDC(OrgCSediments gC/m3),PLIM_ALG1           ,PLIM_ALG2           ,PLIM_ALG3           ,NLIM_ALG1           ,NLIM_ALG2           ,NLIM_ALG3           ,LLIM_ALG1           ,LLIM_ALG2           ,LLIM_ALG3           ,EPLIM_1,ENLIM_1,ELLIM_1,
     1.000,     5.000,   468.080,     9.000,    -0.000,    -0.005,     0.000,     0.450,    34.870,   848.200,     1.000,     9.000,  -272.480,     0.000,   231.734,   349.198,    90.104,    64.912,     0.000,         0.000,         0.000,        10.000,     0.000,     0.000,     0.000,     0.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,
     1.101,   400.435,   467.956,     8.983,     0.017,   282.881,     0.000,     0.450,    34.746,   848.200,     1.000,     8.983,  -271.152,     0.000,   231.363,   349.118,    88.962,    64.435,     0.000,         0.101,         0.000,         9.898,     0.000,     0.000,     0.000,     0.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         0.000,         0.000,         0.000,
     1.201,   799.117,   467.861,     8.969,     0.014,   188.274,     0.000,     0.450,    34.651,   848.200,     1.000,     8.969,  -269.884,     0.000,   230.990,   349.047,    87.851,    63.976,     0.000,         0.201,         0.000,         9.799,     0.000,     0.000,     0.000,     0.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         0.000,         0.000,         0.000,
     1.300,   797.569,   467.768,     8.953,     0.019,   227.851,   327.391,     0.450,    34.558,   848.200,     1.000,     8.953,    40.181,   308.859,   230.649,   348.964,    86.822,    63.540,     0.000,         0.300,         0.000,         9.701,     0.000,     0.000,     0.000,     0.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         0.000,         0.000,         0.979,
     1.400,   795.131,   467.678,     8.925,     0.019,   183.547,     0.000,     0.450,    34.468,   848.200,     1.000,     8.943,  -267.356,     0.000,   230.284,   348.860,    85.718,    63.063,     0.000,         0.400,         0.000,         9.604,     0.000,     0.000,     0.000,     0.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         0.000,         0.000,         0.000,
     1.500,   792.708,   467.608,     8.917,     0.019,   170.699,     0.000,     0.450,    34.398,   848.200,     1.000,     8.926,  -266.246,     0.000,   229.918,   348.806,    84.704,    62.654,     0.000,         0.500,         0.000,         9.507,     0.000,     0.000,     0.000,     0.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         0.000,         0.000,         0.000,
     1.600,   790.277,   467.542,     8.917,     0.019,   170.646,   329.240,     0.450,    34.332,   848.200,     1.000,     8.917,    45.322,   310.604,   229.553,   348.784,    83.760,    62.291,     0.000,         0.600,         0.000,         9.412,     0.000,     0.000,     0.000,     0.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         0.000,         0.000,         0.988,
     1.700,   787.842,   467.476,     8.893,     0.019,   168.883,     0.000,     0.450,    34.266,   848.200,     1.000,     8.893,  -264.062,     0.000,   229.190,   348.682,    82.725,    61.846,     0.000,         0.700,         0.000,         9.317,     0.000,     0.000,     0.000,     0.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         0.000,         0.000,         0.000,
     1.801,   785.390,   467.406,     8.877,     0.019,   177.080,   330.470,     0.450,    34.196,   848.200,     1.000,     8.881,    48.887,   311.764,   228.826,   348.581,    81.710,    61.412,     0.000,         0.801,         0.000,         9.222,     0.000,     0.000,     0.000,     0.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         0.000,         0.000,         0.992,
     1.900,   782.986,   467.339,     8.866,     0.018,   172.992,     0.000,     0.450,    34.129,   848.200,     1.000,     8.866,  -261.969,     0.000,   228.470,   348.545,    80.825,    61.069,     0.000,         0.900,         0.000,         9.131,     0.000,     0.000,     0.000,     0.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         0.000,         0.000,         0.000,
     2.000,   780.555,   467.270,     8.836,     0.018,   171.230,     0.000,     0.450,    34.060,   848.200,     1.000,     8.846,  -260.725,     0.000,   228.112,   348.404,    79.814,    60.618,     0.000,         1.000,         0.000,         9.039,     0.000,     0.000,     0.000,     0.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         0.000,         0.000,         0.000,
     2.100,   778.122,   467.201,     8.820,     0.019,   175.790,     0.000,     0.450,    33.991,   848.200,     1.000,     8.830,  -264.857,     0.000,   228.677,   348.341,    82.986,    62.206,     0.000,         1.100,         0.000,         8.948,     0.000,     0.000,     0.000,     0.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         0.000,         0.000,         0.000,
     2.200,   775.694,   467.130,     8.827,     0.021,   177.028,   666.812,     0.450,    33.920,   848.200,     1.000,     8.826,   359.010,   629.068,   229.337,   348.292,    86.925,    64.178,     0.000,         1.199,         0.000,         8.858,     0.000,     0.000,     0.000,     0.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         0.000,         0.000,         0.726,
     2.301,   773.240,   467.059,     8.826,     0.021,   175.841,     0.000,     0.450,    33.849,   848.200,     1.000,     8.826,  -276.400,     0.000,   230.010,   348.386,    91.497,    66.527,     0.000,         1.300,         0.000,         8.768,     0.000,     0.000,     0.000,     0.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         0.000,         0.000,         0.000,
     2.400,   770.828,   466.989,     8.823,     0.022,   175.138,   447.958,     0.450,    33.778,   848.200,     1.000,     8.823,   140.119,   422.602,   230.678,   348.301,    96.087,    68.773,     0.000,         1.400,         0.000,         8.681,     0.000,     0.000,     0.000,     0.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         0.000,         0.000,         0.936,
     2.500,   768.402,   466.919,     8.811,     0.023,   173.021,     0.000,     0.450,    33.709,   848.200,     1.000,     8.811,  -289.164,     0.000,   231.357,   348.235,   101.090,    71.195,     0.000,         1.499,         0.000,         8.594,     0.000,     0.000,     0.000,     0.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         0.000,         0.000,         0.000,
     2.600,   765.968,   466.849,     8.757,     0.021,   176.030,     0.000,     0.450,    33.639,   848.200,     1.000,     8.794,  -296.414,     0.000,   232.043,   348.191,   106.492,    73.774,     0.000,         1.599,         0.000,         8.507,     0.000,     0.000,     0.000,     0.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         0.000,         0.000,         0.000,
     2.701,   763.517,   466.778,     8.778,     0.019,   178.225,     0.000,     0.450,    33.568,   848.200,     1.000,     8.783,  -304.715,     0.000,   232.794,   348.126,   112.718,    76.666,     0.000,         1.700,         0.000,         8.421,     0.000,     0.000,     0.000,     0.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         0.000,         0.000,         0.000,
     2.800,   761.111,   466.710,     8.760,     0.016,   174.275,     0.000,     0.450,    33.500,   848.200,     1.000,     8.769,  -312.015,     0.000,   233.437,   348.044,   118.255,    79.153,     0.000,         1.799,         0.000,         8.337,     0.000,     0.000,     0.000,     0.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         0.000,         0.000,         0.000,
     2.901,   758.654,   466.638,     8.748,     0.015,   172.205,     0.000,     0.450,    33.428,   848.200,     1.000,     8.748,  -319.885,     0.000,   234.199,   347.726,   124.619,    81.738,     0.000,         1.900,         0.000,         8.252,     0.000,     0.000,     0.000,     0.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         0.000,         0.000,         0.000,
     3.000,   756.250,   466.569,     8.733,     0.015,   171.145,     0.000,     0.450,    33.359,   848.200,     1.000,     8.737,  -329.728,     0.000,   234.910,   347.868,   131.803,    84.967,     0.000,         1.999,         0.000,         8.170,     0.000,     0.000,     0.000,     0.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         0.000,         0.000,         0.000,
     3.100,   753.819,   466.499,     8.708,     0.015,   169.074,     0.000,     0.450,    33.289,   832.200,     1.000,     8.710,  -322.522,     0.000,   236.192,   347.510,   129.354,    81.850,     0.000,         2.099,         0.000,         8.088,     0.000,     0.000,     0.000,     0.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         0.000,         0.000,         0.000,
     3.201,   751.362,   466.425,     8.677,     0.016,   171.773,     0.000,     0.450,    33.215,   832.200,     1.000,     8.679,  -316.331,     0.000,   237.496,   347.353,   127.343,    79.130,     0.000,         2.200,         0.000,         8.006,     0.000,     0.000,     0.000,     0.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         0.000,         0.000,         0.000,
     3.301,   748.942,   466.352,     8.664,     0.016,   173.054,     0.000,     0.450,    33.142,   832.200,     1.000,     8.664,  -312.345,     0.000,   238.720,   347.549,   126.241,    77.275,     0.000,         2.299,         0.000,         7.926,     0.001,     0.000,     0.000,     0.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         0.000,         0.000,         0.000,
     3.400,   746.527,   466.279,     8.642,     0.014,   168.684,     0.000,     0.450,    33.069,   832.200,     1.000,     8.642,  -305.843,     0.000,   240.173,   347.429,   124.122,    74.465,     0.000,         2.398,         0.000,         7.847,     0.001,     0.000,     0.000,     0.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         0.000,         0.000,         0.000,
     3.500,   744.097,   466.206,     8.630,     0.015,   169.401,     0.000,     0.450,    32.996,   832.200,     1.000,     8.632,  -300.064,     0.000,   241.548,   347.377,   122.256,    71.978,     0.000,         2.498,         0.000,         7.768,     0.001,     0.000,     0.000,     0.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         0.000,         0.000,         0.000,
     3.601,   741.640,   466.131,     8.612,     0.013,   173.454,   495.380,     0.450,    32.921,   832.200,     1.000,     8.612,   175.221,   467.339,   242.939,   346.907,   119.419,    68.731,     0.000,         2.599,         0.000,         7.689,     0.001,     0.000,     0.000,     0.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         0.000,         0.000,         0.907,
     3.700,   739.236,   466.058,     8.590,     0.015,   173.989,     0.000,     0.450,    32.848,   832.200,     1.000,     8.590,  -287.890,     0.000,   244.362,   347.175,   118.210,    66.867,     0.000,         2.698,         0.000,         7.612,     0.001,     0.000,     0.000,     0.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         0.000,         0.000,         0.000,
     3.801,   736.792,   465.983,     8.577,     0.015,   169.553,     0.000,     0.450,    32.773,   832.200,     1.000,     8.577,  -282.409,     0.000,   245.696,   347.122,   116.385,    64.597,     0.000,         2.798,         0.000,         7.535,     0.001,     0.000,     0.000,     0.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         0.000,         0.000,         0.000,
     3.901,   715.200,   465.912,     8.563,     0.014,   161.364,     0.000,     0.450,    32.702,   832.200,     1.000,     8.563,  -275.933,     0.000,   247.263,   347.042,   114.200,    61.953,     0.000,         2.898,         0.000,         7.459,     0.000,     0.000,     0.000,     0.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         0.000,         0.000,         0.000,
     4.000,   698.607,   465.843,     8.544,     0.012,   154.362,     0.000,     0.450,    32.633,   832.200,     1.000,     8.547,  -269.794,     0.000,   248.758,   346.965,   112.107,    59.480,     0.000,         2.997,         0.000,         7.385,     0.000,     0.000,     0.000,     0.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         0.000,         0.000,         0.000,
     4.101,   660.341,   465.770,     8.527,     0.013,   162.940,     0.000,     0.450,    32.560,   832.200,     1.000,     8.525,  -265.734,     0.000,   249.380,   346.927,   108.190,    59.997,     0.000,         3.098,         0.000,         7.310,     0.000,     0.000,     0.000,     0.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         0.000,         0.000,         0.000,
     4.201,   645.542,   465.701,     8.502,     0.018,   164.926,     0.000,     0.450,    32.491,   832.200,     1.000,     8.502,  -260.791,     0.000,   250.035,   346.741,   103.827,    60.259,     0.000,         3.198,         0.000,         7.237,     0.001,     0.000,     0.000,     0.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         0.000,         0.000,         0.000,
     4.300,   613.516,   465.641,     8.496,     0.021,   151.252,   393.187,     0.450,    32.431,   832.200,     1.000,     8.496,   114.454,   370.931,   250.730,   346.707,    99.712,    60.787,     0.000,         3.297,         0.000,         7.165,     0.001,     0.000,     0.000,     0.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         0.000,         0.000,         0.987,
     4.401,   591.438,   465.579,     8.478,     0.018,   148.818,   259.734,     0.450,    32.369,   832.200,     1.000,     8.478,    -6.100,   245.032,   251.444,   346.469,    95.185,    60.921,     0.000,         3.397,         0.000,         7.092,     0.001,     0.000,     0.000,     0.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         0.000,         0.000,         0.942,
     4.500,   559.139,   465.508,     8.465,     0.018,   166.802,   328.775,     0.450,    32.298,   816.200,     1.000,     8.465,    62.939,   310.165,   252.197,   346.555,    91.248,    61.622,     0.000,         3.496,         0.000,         7.021,     0.001,     0.000,     0.000,     0.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         0.000,         0.000,         0.988,
     4.600,   530.371,   465.430,     8.427,     0.015,   161.050,     0.000,     0.450,    32.220,   816.200,     1.000,     8.441,  -242.211,     0.000,   252.990,   346.445,    86.793,    61.964,     0.000,         3.596,         0.000,         6.951,     0.001,     0.000,     0.000,     0.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         0.000,         0.000,         0.000,
     4.701,   493.898,   465.354,     8.423,     0.016,   152.317,     0.000,     0.450,    32.144,   816.200,     1.000,     8.423,  -237.217,     0.000,   253.812,   346.357,    82.343,    62.329,     0.000,         3.696,         0.000,         6.880,     0.001,     0.000,     0.000,     0.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         0.000,         0.000,         0.000,
     4.801,   502.288,   465.281,     8.409,     0.023,   141.996,     0.000,     0.450,    32.071,   816.200,     1.000,     8.409,  -231.799,     0.000,   254.681,   346.221,    77.655,    62.604,     0.000,         3.796,         0.000,         6.811,     0.001,     0.000,     0.000,     0.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         0.000,         0.000,         0.000,
     4.900,   446.511,   465.209,     8.390,     0.030,   180.183,   468.388,     0.450,    31.999,   816.200,     1.000,     8.390,   215.029,   441.876,   255.561,   346.185,    73.199,    63.023,     0.000,         3.895,         0.000,         6.743,     0.001,     0.000,     0.000,     0.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         0.000,         0.000,         0.937,
     5.000,   401.752,   465.125,     8.370,     0.009,   169.221,     0.000,     0.450,    31.915,   816.200,     1.000,     8.370,  -221.242,     0.000,   256.520,   346.088,    68.325,    63.350,     0.000,         3.995,         0.000,         6.675,     0.001,     0.000,     0.000,     0.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         0.000,         0.000,         0.000,
     5.101,   367.450,   465.044,     8.344,    -0.001,   180.307,     0.000,     0.450,    31.834,   816.200,     1.000,     8.344,  -216.705,     0.000,   256.395,   345.966,    66.423,    60.711,     0.000,         4.095,         0.000,         6.608,     0.001,     0.000,     0.000,     0.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         0.000,         0.000,         0.000,
     5.200,   328.212,   464.956,     8.321,    -0.004,   169.453,     0.000,     0.450,    31.746,   816.200,     1.000,     8.321,  -212.356,     0.000,   256.267,   345.852,    64.577,    58.194,     0.000,         4.194,         0.000,         6.542,     0.001,     0.000,     0.000,     0.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         0.000,         0.000,         0.000,
     5.301,   521.913,   464.871,     8.298,     0.006,   178.250,     0.000,     0.450,    31.661,   816.200,     1.000,     8.299,  -207.857,     0.000,   256.140,   345.659,    62.643,    55.695,     0.000,         4.295,         0.000,         6.475,     0.000,     0.000,     0.000,     0.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         0.000,         0.000,         0.000,
     5.401,   158.959,   464.784,     8.278,     0.000,   153.039,   130.080,     0.450,    31.574,   816.200,     1.000,     8.281,   -81.423,   122.717,   256.009,   345.638,    61.009,    53.501,     0.000,         4.394,         0.000,         6.411,     0.000,     0.000,     0.000,     0.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         0.000,         0.000,         0.656,
     5.500,   338.169,   464.703,     8.258,    -0.001,   166.039,   151.098,     0.450,    31.493,   816.200,     1.000,     8.264,   -57.795,   142.546,   255.881,   345.535,    59.325,    51.361,     0.000,         4.493,         0.000,         6.347,     0.001,     0.000,     0.000,     0.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         0.000,         0.000,         0.728,
     5.601,   390.233,   464.623,     8.245,     0.002,   213.277,     0.000,     0.450,    31.413,   816.200,     1.000,     8.245,  -196.906,     0.000,   255.754,   345.477,    57.778,    49.405,     0.000,         4.594,         0.000,         6.282,     0.001,     0.000,     0.000,     0.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         0.000,         0.000,         0.000,
