$STR WITHDRAWAL AT SEG36                                     ELEV OF WITHDRAWAL CENTERLINE:457.     

JDAY,           Gen1,           ISS1,
    18.400,   13.95273,    0.10598,
    18.502,   13.93685,    0.10700,
    18.601,   13.90854,    0.10897,
    18.700,   13.88396,    0.11131,
    18.801,   13.87947,    0.11327,
    18.901,   13.88890,    0.11513,
    19.000,   13.90614,    0.11700,
    19.101,   13.92705,    0.11896,
    19.201,   13.94491,    0.12109,
    19.300,   13.95196,    0.12355,
    19.400,   13.93761,    0.12674,
    19.500,   13.90773,    0.13051,
    19.600,   13.87204,    0.13395,
    19.700,   13.80694,    0.13824,
    19.802,   13.71922,    0.14289,
    19.900,   13.61885,    0.14734,
    20.000,   13.48597,    0.15239,
    20.102,   13.30982,    0.15862,
    20.200,   13.10108,    0.16586,
    20.302,   12.87145,    0.17397,
    20.402,   12.62696,    0.18296,
    20.500,   12.38906,    0.19218,
    20.600,   12.14777,    0.20197,
    20.701,   11.91864,    0.21184,
    20.800,   11.69059,    0.22234,
    20.901,   11.48543,    0.23246,
    21.000,   11.29641,    0.24257,
    21.100,   11.12148,    0.25276,
    21.201,   10.95825,    0.26339,
    21.301,   10.80763,    0.27439,
    21.400,   10.67813,    0.28594,
    21.501,   10.51853,    0.29876,
    21.600,   10.36631,    0.31226,
    21.700,   10.19707,    0.32717,
    21.801,   10.00652,    0.34348,
    21.901,    9.76777,    0.36403,
    22.000,    9.49614,    0.38638,
    22.101,    9.26297,    0.40164,
    22.201,    9.01737,    0.41567,
    22.300,    8.74895,    0.43080,
    22.400,    8.45395,    0.44708,
    22.500,    8.14102,    0.46344,
    22.600,    7.80719,    0.47975,
    22.700,    7.44451,    0.49699,
    22.800,    7.13997,    0.51045,
    22.900,    6.82289,    0.51802,
    23.000,    6.50865,    0.52118,
    23.100,    6.17468,    0.52238,
    23.200,    5.86648,    0.52049,
    23.303,    5.59392,    0.51600,
    23.400,    5.34644,    0.50974,
    23.500,    5.11070,    0.50200,
    23.600,    4.90581,    0.49310,
    23.703,    4.72355,    0.48381,
    23.800,    4.55744,    0.47564,
    23.903,    4.40326,    0.46856,
    24.000,    4.29300,    0.46294,
    24.100,    4.22481,    0.45948,
    24.202,    4.18739,    0.45807,
    24.302,    4.16854,    0.45804,
    24.400,    4.15645,    0.45796,
    24.500,    4.14879,    0.45724,
    24.602,    4.13827,    0.45497,
    24.700,    4.11921,    0.45132,
    24.802,    4.08840,    0.44666,
    24.902,    4.04068,    0.44286,
    25.000,    3.98038,    0.43985,
    25.101,    3.90982,    0.43872,
    25.201,    3.82672,    0.43889,
    25.300,    3.73118,    0.43982,
    25.401,    3.63373,    0.44177,
    25.500,    3.53458,    0.44539,
    25.600,    3.43199,    0.45087,
    25.701,    3.32758,    0.45802,
    25.801,    3.22396,    0.46529,
    25.900,    3.11371,    0.47521,
    26.000,    3.00121,    0.49057,
    26.101,    2.88406,    0.51315,
    26.200,    2.76625,    0.54079,
    26.300,    2.64658,    0.57245,
    26.400,    2.52871,    0.60466,
    26.500,    2.40997,    0.63346,
    26.600,    2.28724,    0.65844,
    26.700,    2.15610,    0.67989,
    26.800,    2.00661,    0.70370,
    26.902,    1.84141,    0.72700,
    27.000,    1.67152,    0.74790,
    27.100,    1.49705,    0.76811,
    27.202,    1.32816,    0.78754,
    27.302,    1.16506,    0.80837,
    27.400,    1.00958,    0.83018,
    27.500,    0.86465,    0.85352,
    27.601,    0.71370,    0.87143,
    27.700,    0.58082,    0.88381,
    27.801,    0.41829,    0.93298,
    27.900,    0.24330,    1.00268,
