JDAY,DLT(s),ELWS(m),T2(C),U(ms-1),Q(m3s-1),SRON(Wm-2),EXT(m-1),DEPTH(m),WIDTH(m),SHADE,Tvolavg(C),NetRad(Wm-2),SWSolar(Wm-2),LWRad(Wm-2),BackRad(Wm-2),EvapF(Wm-2),ConducF(Wm-2),ReaerationCoeff(day-1),           Gen1,           ISS1,     EPI(g/m2),     SED(Organic matter in sediments g/m3),    SEDP(OrgP in sediments gP/m3),    SEDN(OrgN in sediments gN/m3),    SEDC(OrgCSediments gC/m3),PLIM_ALG1           ,PLIM_ALG2           ,PLIM_ALG3           ,NLIM_ALG1           ,NLIM_ALG2           ,NLIM_ALG3           ,LLIM_ALG1           ,LLIM_ALG2           ,LLIM_ALG3           ,EPLIM_1,ENLIM_1,ELLIM_1,
     1.000,     5.000,   468.080,     9.000,     0.000,     0.026,     0.000,     0.450,    34.870,   526.400,     1.000,     9.000,  -272.480,     0.000,   231.734,   349.198,    90.104,    64.912,     0.000,         0.000,         0.000,        10.000,     0.000,     0.000,     0.000,     0.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,
     1.101,   400.435,   467.958,     8.982,     0.036,   259.976,     0.000,     0.450,    34.748,   526.400,     1.000,     8.982,  -271.124,     0.000,   231.363,   349.110,    88.951,    64.426,     0.000,         0.101,         0.000,         9.898,     0.000,     0.000,     0.000,     0.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         0.000,         0.000,         0.000,
     1.201,   799.117,   467.861,     8.963,     0.038,   183.414,     0.000,     0.450,    34.651,   526.400,     1.000,     8.967,  -269.753,     0.000,   230.990,   349.012,    87.797,    63.933,     0.000,         0.201,         0.000,         9.799,     0.000,     0.000,     0.000,     0.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         0.000,         0.000,         0.000,
     1.300,   797.569,   467.768,     8.950,     0.042,   217.339,   327.391,     0.450,    34.558,   526.400,     1.000,     8.950,    40.244,   308.859,   230.649,   348.948,    86.797,    63.520,     0.000,         0.300,         0.000,         9.701,     0.000,     0.000,     0.000,     0.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         0.000,         0.000,         0.979,
     1.400,   795.131,   467.678,     8.922,     0.038,   175.195,     0.000,     0.450,    34.468,   526.400,     1.000,     8.939,  -267.291,     0.000,   230.284,   348.842,    85.692,    63.042,     0.000,         0.400,         0.000,         9.604,     0.000,     0.000,     0.000,     0.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         0.000,         0.000,         0.000,
     1.500,   792.708,   467.608,     8.921,     0.035,   163.719,     0.000,     0.450,    34.398,   526.400,     1.000,     8.921,  -266.295,     0.000,   229.918,   348.820,    84.723,    62.670,     0.000,         0.500,         0.000,         9.507,     0.000,     0.000,     0.000,     0.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         0.000,         0.000,         0.000,
     1.600,   790.277,   467.542,     8.911,     0.037,   163.590,   329.240,     0.450,    34.332,   526.400,     1.000,     8.911,    45.416,   310.604,   229.553,   348.758,    83.722,    62.261,     0.000,         0.600,         0.000,         9.412,     0.000,     0.000,     0.000,     0.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         0.000,         0.000,         0.988,
     1.700,   787.842,   467.476,     8.887,     0.033,   162.074,     0.000,     0.450,    34.266,   526.400,     1.000,     8.887,  -263.945,     0.000,   229.190,   348.649,    82.678,    61.808,     0.000,         0.700,         0.000,         9.317,     0.000,     0.000,     0.000,     0.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         0.000,         0.000,         0.000,
     1.801,   785.390,   467.406,     8.872,     0.035,   169.913,   330.470,     0.450,    34.196,   526.400,     1.000,     8.874,    48.985,   311.764,   228.826,   348.553,    81.671,    61.380,     0.000,         0.801,         0.000,         9.222,     0.000,     0.000,     0.000,     0.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         0.000,         0.000,         0.992,
     1.900,   782.986,   467.339,     8.858,     0.035,   165.622,     0.000,     0.450,    34.129,   526.400,     1.000,     8.858,  -261.829,     0.000,   228.470,   348.505,    80.770,    61.024,     0.000,         0.900,         0.000,         9.131,     0.000,     0.000,     0.000,     0.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         0.000,         0.000,         0.000,
