JDAY,DLT(s),ELWS(m),T2(C),U(ms-1),Q(m3s-1),SRON(Wm-2),EXT(m-1),DEPTH(m),WIDTH(m),SHADE,Tvolavg(C),NetRad(Wm-2),SWSolar(Wm-2),LWRad(Wm-2),BackRad(Wm-2),EvapF(Wm-2),ConducF(Wm-2),ReaerationCoeff(day-1),           Gen1,           ISS1,     EPI(g/m2),     SED(Organic matter in sediments g/m3),    SEDP(OrgP in sediments gP/m3),    SEDN(OrgN in sediments gN/m3),    SEDC(OrgCSediments gC/m3),PLIM_ALG1           ,PLIM_ALG2           ,PLIM_ALG3           ,NLIM_ALG1           ,NLIM_ALG2           ,NLIM_ALG3           ,LLIM_ALG1           ,LLIM_ALG2           ,LLIM_ALG3           ,EPLIM_1,ENLIM_1,ELLIM_1,
     1.000,     5.000,   468.082,     9.000,     0.000,     0.012,     0.000,     0.450,     5.582,    72.700,     1.000,     9.000,  -272.480,     0.000,   231.734,   349.198,    90.104,    64.912,     0.000,         0.000,         0.000,        10.000,     0.000,     0.000,     0.000,     0.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,
     1.101,   400.435,   468.039,     3.842,     0.110,    40.552,     0.000,     0.450,     5.539,    72.700,     1.000,     3.842,  -181.622,     0.000,   231.363,   324.638,    55.417,    32.930,     0.000,         0.060,         0.000,         9.898,     0.000,     0.000,     0.000,     0.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         0.000,         0.000,         0.000,
     1.201,   799.117,   467.888,     1.801,     0.117,    41.660,     0.000,     0.450,     5.388,    72.700,     1.000,     1.828,  -147.713,     0.000,   230.990,   314.807,    43.862,    20.034,     0.000,         0.068,         0.000,         9.802,     0.000,     0.000,     0.000,     0.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         0.000,         0.000,         0.000,
     1.300,   797.569,   467.776,     1.763,     0.116,    41.578,   327.391,     0.450,     5.276,    72.700,     1.000,     1.762,   161.421,   308.859,   230.649,   314.655,    43.367,    20.066,     0.000,         0.062,         0.000,         9.724,     0.000,     0.000,     0.000,     0.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         0.000,         0.000,         0.978,
     1.400,   795.131,   467.689,     1.712,     0.128,    41.018,     0.000,     0.450,     5.189,    72.700,     1.000,     1.724,  -147.420,     0.000,   230.284,   314.572,    42.928,    20.203,     0.000,         0.056,         0.000,         9.648,     0.000,     0.000,     0.000,     0.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         0.000,         0.000,         0.000,
     1.500,   792.708,   467.620,     1.646,     0.140,    40.989,     0.000,     0.450,     5.120,    72.700,     1.000,     1.670,  -146.679,     0.000,   229.918,   314.270,    42.271,    20.056,     0.000,         0.053,         0.000,         9.576,     0.000,     0.000,     0.000,     0.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         0.000,         0.000,         0.000,
     1.600,   790.277,   467.553,     1.635,     0.132,    41.023,   329.240,     0.450,     5.053,    72.700,     1.000,     1.636,   164.094,   310.604,   229.553,   314.137,    41.800,    20.127,     0.000,         0.054,         0.000,         9.506,     0.000,     0.000,     0.000,     0.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         0.000,         0.000,         0.988,
     1.700,   787.842,   467.491,     1.512,     0.136,    40.776,     0.000,     0.450,     4.991,    72.700,     1.000,     1.527,  -145.273,     0.000,   229.190,   313.671,    41.013,    19.780,     0.000,         0.056,         0.000,         9.441,     0.001,     0.000,     0.000,     0.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         0.000,         0.000,         0.000,
     1.801,   785.390,   467.419,     1.482,     0.151,    40.753,   330.470,     0.450,     4.919,    72.700,     1.000,     1.488,   167.184,   311.764,   228.826,   313.366,    40.398,    19.642,     0.000,         0.056,         0.000,         9.380,     0.001,     0.000,     0.000,     0.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         0.000,         0.000,         0.992,
     1.900,   782.986,   467.351,     1.352,     0.128,    41.012,     0.000,     0.450,     4.851,    72.700,     1.000,     1.386,  -143.484,     0.000,   228.470,   312.930,    39.681,    19.343,     0.000,         0.056,         0.000,         9.324,     0.001,     0.000,     0.000,     0.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         0.000,         0.000,         0.000,
     2.000,   780.555,   467.285,     1.299,     0.139,    40.586,     0.000,     0.450,     4.785,    72.700,     1.000,     1.324,  -143.138,     0.000,   228.112,   312.723,    39.194,    19.332,     0.000,         0.055,         0.000,         9.275,     0.001,     0.000,     0.000,     0.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         0.000,         0.000,         0.000,
     2.100,   778.122,   467.215,     1.391,     0.154,    41.225,     0.000,     0.450,     4.715,    72.700,     1.000,     1.396,  -145.153,     0.000,   228.677,   313.090,    41.063,    19.677,     0.000,         0.053,         0.000,         9.227,     0.001,     0.000,     0.000,     0.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         0.000,         0.000,         0.000,
     2.200,   775.694,   467.147,     1.571,     0.143,    40.957,   666.812,     0.450,     4.647,    72.700,     1.000,     1.574,   481.637,   629.068,   229.337,   313.450,    43.305,    20.013,     0.000,         0.051,         0.000,         9.171,     0.001,     0.000,     0.000,     0.001,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         0.000,         0.000,         0.729,
     2.301,   773.240,   467.080,     1.694,     0.169,    40.714,     0.000,     0.450,     4.580,    72.700,     1.000,     1.726,  -152.666,     0.000,   230.010,   314.591,    46.632,    21.453,     0.000,         0.049,         0.000,         9.109,     0.001,     0.000,     0.000,     0.001,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         0.000,         0.000,         0.000,
     2.400,   770.828,   467.012,     1.831,     0.166,    40.231,   447.958,     0.450,     4.512,    72.700,     1.000,     1.857,   267.777,   422.602,   230.678,   314.766,    49.122,    21.615,     0.000,         0.047,         0.000,         9.039,     0.001,     0.000,     0.000,     0.001,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         0.000,         0.000,         0.938,
     2.500,   768.402,   466.943,     1.969,     0.161,    40.776,     0.000,     0.450,     4.443,    72.700,     1.000,     1.977,  -160.081,     0.000,   231.357,   315.715,    52.774,    22.948,     0.000,         0.047,         0.000,         8.959,     0.002,     0.000,     0.000,     0.001,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         0.000,         0.000,         0.000,
     2.600,   765.968,   466.876,     2.101,     0.154,    40.915,     0.000,     0.450,     4.376,    72.700,     1.000,     2.109,  -164.383,     0.000,   232.043,   316.318,    56.290,    23.818,     0.000,         0.047,         0.000,         8.881,     0.002,     0.000,     0.000,     0.001,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         0.000,         0.000,         0.000,
     2.701,   763.517,   466.809,     2.295,     0.158,    40.959,     0.000,     0.450,     4.309,    72.700,     1.000,     2.295,  -170.277,     0.000,   232.794,   317.186,    60.712,    25.173,     0.000,         0.045,         0.000,         8.800,     0.002,     0.000,     0.000,     0.001,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         0.000,         0.000,         0.000,
     2.800,   761.111,   466.746,     2.388,     0.177,    40.537,     0.000,     0.450,     4.246,    72.700,     1.000,     2.395,  -174.417,     0.000,   233.437,   317.644,    64.328,    25.883,     0.000,         0.044,         0.000,         8.717,     0.002,     0.000,     0.000,     0.001,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         0.000,         0.000,         0.000,
     2.901,   758.654,   466.675,     2.474,     0.167,    40.874,     0.000,     0.450,     4.175,    72.700,     1.000,     2.495,  -178.711,     0.000,   234.199,   317.994,    68.553,    26.362,     0.000,         0.044,         0.000,         8.632,     0.002,     0.000,     0.000,     0.001,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         0.000,         0.000,         0.000,
     3.000,   756.250,   466.611,     2.650,     0.181,    40.755,     0.000,     0.450,     4.111,    72.700,     1.000,     2.671,  -185.186,     0.000,   234.910,   318.806,    73.533,    27.757,     0.000,         0.044,         0.000,         8.549,     0.002,     0.000,     0.000,     0.001,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         0.000,         0.000,         0.000,
     3.100,   753.819,   466.545,     2.792,     0.191,    40.719,     0.000,     0.450,     4.045,    72.700,     1.000,     2.792,  -183.294,     0.000,   236.192,   319.466,    73.201,    26.818,     0.000,         0.042,         0.000,         8.465,     0.002,     0.000,     0.000,     0.001,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         0.000,         0.000,         0.000,
     3.201,   751.362,   466.467,     2.917,     0.194,    40.361,     0.000,     0.450,     3.967,    67.500,     1.000,     2.932,  -180.958,     0.000,   237.496,   320.044,    72.696,    25.714,     0.000,         0.041,         0.000,         8.381,     0.002,     0.000,     0.000,     0.001,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         0.000,         0.000,         0.000,
     3.301,   748.942,   466.398,     3.159,     0.210,    41.059,     0.000,     0.450,     3.898,    67.500,     1.000,     3.176,  -181.809,     0.000,   238.720,   321.221,    73.319,    25.989,     0.000,         0.040,         0.000,         8.298,     0.003,     0.000,     0.000,     0.001,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         0.000,         0.000,         0.000,
     3.400,   746.527,   466.322,     3.291,     0.197,    40.544,     0.000,     0.450,     3.822,    67.500,     1.000,     3.322,  -178.884,     0.000,   240.173,   321.780,    72.604,    24.674,     0.000,         0.039,         0.000,         8.215,     0.003,     0.000,     0.000,     0.001,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         0.000,         0.000,         0.000,
     3.500,   744.097,   466.256,     3.605,     0.213,    40.467,     0.000,     0.450,     3.756,    67.500,     1.000,     3.607,  -180.626,     0.000,   241.548,   323.249,    73.578,    25.347,     0.000,         0.038,         0.000,         8.133,     0.003,     0.000,     0.000,     0.001,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         0.000,         0.000,         0.000,
     3.601,   741.640,   466.190,     3.719,     0.239,    40.914,   495.380,     0.450,     3.690,    67.500,     1.000,     3.733,   289.732,   467.339,   242.939,   323.722,    72.777,    24.046,     0.000,         0.036,         0.000,         8.050,     0.003,     0.000,     0.000,     0.001,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         0.000,         0.000,         0.912,
     3.700,   739.236,   466.119,     3.843,     0.256,    40.226,     0.000,     0.450,     3.619,    67.500,     1.000,     3.882,  -175.258,     0.000,   244.362,   324.354,    72.215,    23.051,     0.000,         0.035,         0.000,         7.970,     0.003,     0.000,     0.000,     0.001,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         0.000,         0.000,         0.000,
     3.801,   736.792,   466.050,     4.143,     0.235,    40.027,     0.000,     0.450,     3.550,    67.500,     1.000,     4.143,  -177.226,     0.000,   245.696,   325.816,    73.246,    23.859,     0.000,         0.033,         0.000,         7.890,     0.003,     0.000,     0.000,     0.001,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         0.000,         0.000,         0.000,
     3.901,   715.200,   465.991,     4.286,     0.233,    39.703,     0.000,     0.450,     3.491,    67.500,     1.000,     4.286,  -174.377,     0.000,   247.263,   326.441,    72.496,    22.703,     0.000,         0.032,         0.000,         7.804,     0.024,     0.000,     0.002,     0.011,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         0.000,         0.000,         0.000,
     4.000,   698.607,   465.926,     4.519,     0.244,    39.833,     0.000,     0.450,     3.426,    67.500,     1.000,     4.520,  -174.108,     0.000,   248.758,   327.544,    72.697,    22.625,     0.000,         0.032,         0.000,         7.726,     0.025,     0.000,     0.002,     0.011,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         0.000,         0.000,         0.000,
     4.101,   660.341,   465.865,     4.470,     0.256,    40.249,     0.000,     0.450,     3.365,    67.500,     1.000,     4.469,  -170.119,     0.000,   249.380,   327.356,    68.921,    23.222,     0.000,         0.031,         0.000,         7.647,     0.025,     0.000,     0.002,     0.011,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         0.000,         0.000,         0.000,
     4.201,   645.542,   465.804,     4.301,     0.259,    39.115,     0.000,     0.450,     3.304,    67.500,     1.000,     4.301,  -163.018,     0.000,   250.035,   326.530,    63.897,    22.627,     0.000,         0.030,         0.000,         7.571,     0.026,     0.000,     0.002,     0.012,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         0.000,         0.000,         0.000,
     4.300,   613.516,   465.752,     4.281,     0.273,    39.749,   393.187,     0.450,     3.252,    67.500,     1.000,     4.281,   211.817,   370.931,   250.730,   326.410,    60.056,    23.378,     0.000,         0.029,         0.000,         7.495,     0.026,     0.000,     0.002,     0.012,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         0.000,         0.000,         0.986,
     4.401,   591.438,   465.704,     4.125,     0.281,    39.578,   259.734,     0.450,     3.204,    67.500,     1.000,     4.125,    92.812,   245.032,   251.444,   325.649,    55.123,    22.892,     0.000,         0.027,         0.000,         7.419,     0.027,     0.000,     0.002,     0.012,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         0.000,         0.000,         0.933,
     4.500,   559.139,   465.650,     4.038,     0.294,    39.689,   328.775,     0.450,     3.150,    67.500,     1.000,     4.038,   163.371,   310.165,   252.197,   325.232,    50.704,    23.056,     0.000,         0.026,         0.000,         7.345,     0.028,     0.000,     0.002,     0.012,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         0.000,         0.000,         0.983,
     4.600,   530.371,   465.580,     3.933,     0.307,    39.515,     0.000,     0.450,     3.080,    67.500,     1.000,     3.933,  -141.262,     0.000,   252.990,   324.819,    46.204,    23.229,     0.000,         0.025,         0.000,         7.272,     0.028,     0.000,     0.002,     0.013,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         0.000,         0.000,         0.000,
     4.701,   493.898,   465.507,     3.811,     0.327,    40.263,     0.000,     0.450,     3.007,    62.200,     1.000,     3.813,  -134.957,     0.000,   253.812,   324.251,    41.412,    23.106,     0.000,         0.024,         0.000,         7.198,     0.029,     0.000,     0.002,     0.013,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         0.000,         0.000,         0.000,
     4.801,   502.288,   465.448,     3.724,     0.338,    38.840,     0.000,     0.450,     2.948,    62.200,     1.000,     3.724,  -129.342,     0.000,   254.681,   323.873,    36.812,    23.338,     0.000,         0.022,         0.000,         7.126,     0.030,     0.000,     0.002,     0.013,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         0.000,         0.000,         0.000,
     4.900,   446.511,   465.405,     3.628,     0.338,    39.226,   468.388,     0.450,     2.905,    62.200,     1.000,     3.627,   319.355,   441.876,   255.561,   323.223,    31.804,    23.055,     0.000,         0.022,         0.000,         7.055,     0.030,     0.000,     0.002,     0.014,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         0.000,         0.000,         0.949,
     5.000,   401.752,   465.352,     3.527,     0.369,    41.090,     0.000,     0.450,     2.852,    62.200,     1.000,     3.527,  -116.773,     0.000,   256.520,   322.887,    27.033,    23.372,     0.000,         0.021,         0.000,         6.984,     0.031,     0.000,     0.002,     0.014,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         0.000,         0.000,         0.000,
