JDAY,DLT(s),ELWS(m),T2(C),U(ms-1),Q(m3s-1),SRON(Wm-2),EXT(m-1),DEPTH(m),WIDTH(m),SHADE,Tvolavg(C),NetRad(Wm-2),SWSolar(Wm-2),LWRad(Wm-2),BackRad(Wm-2),EvapF(Wm-2),ConducF(Wm-2),ReaerationCoeff(day-1),           Gen1,           ISS1,     EPI(g/m2),     SED(Organic matter in sediments g/m3),    SEDP(OrgP in sediments gP/m3),    SEDN(OrgN in sediments gN/m3),    SEDC(OrgCSediments gC/m3),PLIM_ALG1           ,PLIM_ALG2           ,PLIM_ALG3           ,NLIM_ALG1           ,NLIM_ALG2           ,NLIM_ALG3           ,LLIM_ALG1           ,LLIM_ALG2           ,LLIM_ALG3           ,EPLIM_1,ENLIM_1,ELLIM_1,
     1.000,     5.000,   468.080,     9.000,    -0.000,    -0.008,     0.000,     0.450,     5.580,   150.100,     1.000,     9.000,  -272.480,     0.000,   231.734,   349.198,    90.104,    64.912,     0.000,         0.000,         0.000,        10.000,     0.000,     0.000,     0.000,     0.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,
     1.101,   400.435,   468.033,     7.729,     0.084,    57.329,     0.000,     0.457,     5.533,   150.100,     1.000,     7.729,  -248.476,     0.000,   231.363,   343.093,    79.907,    56.839,     0.000,         0.092,         0.723,         9.898,     0.000,     0.000,     0.000,     0.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         0.000,         0.000,         0.000,
     1.201,   799.117,   467.881,     5.363,     0.095,    60.432,     0.000,     0.461,     5.381,   150.100,     1.000,     5.362,  -206.149,     0.000,   230.990,   331.623,    63.477,    42.040,     0.000,         0.152,         1.129,         9.799,     0.000,     0.000,     0.000,     0.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         0.000,         0.000,         0.000,
     1.300,   797.569,   467.770,     3.240,     0.091,    60.458,   327.391,     0.463,     5.270,   150.100,     1.000,     3.264,   136.147,   308.859,   230.649,   322.096,    51.479,    29.786,     0.000,         0.174,         1.329,         9.701,     0.000,     0.000,     0.000,     0.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         0.000,         0.000,         0.977,
     1.400,   795.131,   467.682,     2.185,     0.092,    58.808,     0.000,     0.465,     5.182,   150.100,     1.000,     2.204,  -155.826,     0.000,   230.284,   317.089,    45.557,    23.465,     0.000,         0.173,         1.465,         9.606,     0.000,     0.000,     0.000,     0.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         0.000,         0.000,         0.000,
     1.500,   792.708,   467.613,     1.887,     0.101,    58.782,     0.000,     0.465,     5.113,   150.100,     1.000,     1.911,  -150.862,     0.000,   229.918,   315.537,    43.563,    21.679,     0.000,         0.160,         1.506,         9.521,     0.001,     0.000,     0.000,     0.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         0.000,         0.000,         0.000,
     1.600,   790.277,   467.547,     1.887,     0.097,    58.713,   329.240,     0.466,     5.047,   150.100,     1.000,     1.887,   160.521,   310.604,   229.553,   315.230,    42.897,    21.509,     0.000,         0.147,         1.555,         9.441,     0.001,     0.000,     0.000,     0.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         0.000,         0.000,         0.987,
     1.700,   787.842,   467.482,     1.869,     0.104,    58.499,     0.000,     0.466,     4.982,   150.100,     1.000,     1.889,  -150.453,     0.000,   229.190,   315.272,    42.593,    21.778,     0.000,         0.137,         1.600,         9.363,     0.001,     0.000,     0.000,     0.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         0.000,         0.000,         0.000,
     1.801,   785.390,   467.411,     2.052,     0.105,    58.765,   330.470,     0.466,     4.911,   150.100,     1.000,     2.063,   158.845,   311.764,   228.826,   315.966,    42.937,    22.843,     0.000,         0.131,         1.586,         9.283,     0.001,     0.000,     0.000,     0.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         0.000,         0.000,         0.991,
     1.900,   782.986,   467.344,     2.125,     0.093,    58.802,     0.000,     0.466,     4.844,   150.100,     1.000,     2.126,  -153.645,     0.000,   228.470,   316.127,    42.758,    23.230,     0.000,         0.129,         1.634,         9.201,     0.001,     0.000,     0.000,     0.001,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         0.000,         0.000,         0.000,
