timestep,Q_sim_mm_d,Ea_sim_mm_d,Q_obs_mm_d
817,3.588835,1.691148,2.125541
818,3.676522,1.230905,3.893318
819,3.819832,1.292668,11.490549
820,3.896588,1.805941,6.376623
821,4.011005,2.112977,4.103767
822,4.172437,2.321772,3.156744
823,4.342556,2.326578,2.588530
824,4.496686,1.951168,2.230766
825,4.622097,1.628487,2.058197
826,4.722657,2.464681,1.868793
827,4.768047,2.431110,1.702537
828,4.786166,1.793979,1.639402
829,4.797328,1.560872,1.710955
830,4.765831,1.883299,1.637298
831,4.721445,2.275412,1.534178
832,4.661744,1.603303,1.569954
833,4.627170,1.338794,1.675179
834,4.574762,1.294451,2.988384
835,4.601497,1.718502,9.996356
836,4.626785,2.808703,8.081265
837,4.651639,2.879427,4.419442
838,4.769628,2.754633,3.261969
839,4.925467,1.757080,2.904205
840,5.115060,2.032959,4.187947
841,5.255633,1.762052,3.283014
842,5.380057,1.973109,2.609575
843,5.481495,2.264970,2.272856
844,5.547987,2.362487,1.980331
845,5.574049,2.578077,1.765672
846,5.558644,2.218712,1.620462
847,5.503666,1.742089,1.538387
848,5.415937,1.383536,1.776195
849,5.343380,1.360818,7.492006
850,5.283526,2.148025,10.038446
851,5.156211,2.758355,5.324375
852,5.102985,2.826052,3.493463
853,5.085151,2.779525,2.735845
854,5.076815,2.008142,2.462260
855,5.079937,1.389635,3.388239
856,5.101486,1.920854,4.082722
857,5.098015,2.845714,3.051519
858,5.085146,2.718489,2.462260
859,5.105143,2.017077,2.904205
860,5.155833,1.853468,3.009429
861,5.186399,1.507836,4.272127
862,5.261680,1.588948,7.744546
863,5.304333,1.863326,7.007972
864,5.410025,2.352581,5.029746
865,5.525031,3.413807,3.535553
866,5.647512,3.343571,2.735845
867,5.811283,3.272148,2.272856
868,5.975114,2.455311,3.219879
869,6.164615,2.373708,4.756161
870,6.304670,2.314687,4.440487
871,6.406899,2.768346,3.240924
872,6.503009,2.543052,2.357036
873,6.590331,2.787510,2.003480
874,6.649015,2.906842,1.782508
875,6.668370,2.214072,1.732000
876,6.644112,1.529088,22.307658
877,6.784345,1.856022,159.520802
878,6.924459,2.721176,51.770603
879,6.976285,2.979937,9.470232
880,7.274030,4.043286,5.156015
881,7.696412,3.825018,3.703913
882,8.186518,3.888899,2.988384
883,8.666148,3.029891,2.798980
884,9.135738,4.144853,2.335991
885,9.467816,3.040039,2.077138
886,9.755105,2.912453,2.420170
887,9.996977,3.549775,2.209721
888,10.108119,3.622613,1.830912
889,10.178633,3.568621,1.649925
890,10.190857,3.447663,1.496297
891,10.137392,3.424926,1.388967
892,10.017811,2.375849,1.327937
893,9.852245,1.981881,1.330042
894,9.623358,2.765688,1.277429
895,9.355457,2.366992,1.304788
896,9.083400,3.039396,1.275325
897,8.767008,2.170410,1.308997
898,8.472135,2.906750,1.197458
899,8.152967,3.208983,1.100651
900,7.844442,3.107553,1.048039
901,7.539657,2.988476,1.016472
902,7.235123,2.348358,1.018576
903,6.956912,2.199228,1.250071
904,6.705390,2.267883,1.487879
905,6.447588,2.266898,1.915091
906,6.263573,2.111082,2.066615
907,6.101304,2.143959,1.664656
908,5.990040,2.656344,1.378445
909,5.918153,2.784525,1.243757
910,5.859792,3.030068,1.157473
911,5.798407,2.932282,1.096442
912,5.724175,2.907270,1.039621
913,5.632048,2.847868,0.984904
914,5.520274,2.438088,1.197458
915,5.396829,2.345598,1.037517
916,5.252800,2.399678,1.050144
917,5.095548,2.520844,0.955441
918,4.933301,2.412503,0.917560
919,4.765747,2.401781,0.898620
920,4.593537,1.858276,0.909142
921,4.448988,2.491233,0.917560
922,4.271098,1.903605,0.902829
923,4.131515,2.401038,0.873366
924,3.992338,1.997837,0.829171
925,3.881641,2.338729,0.799709
926,3.772511,2.273030,0.774455
927,3.675145,2.177551,0.749201
928,3.582822,1.937031,0.761828
929,3.493488,1.953013,0.759723
930,3.400547,1.572323,0.793395
931,3.326139,2.234916,0.757619
932,3.230255,2.145948,0.719738
933,3.147598,2.209685,0.688170
934,3.071573,2.135358,0.669230
935,2.997945,1.934261,0.713424
936,2.926085,1.348031,0.822858
937,2.886697,1.803054,0.843903
938,2.812607,1.814233,0.782873
939,2.765403,2.014670,0.740783
940,2.732235,1.950206,0.707111
941,2.707016,1.770378,0.688170
942,2.682983,1.950416,0.667125
943,2.655949,1.978609,0.639767
944,2.623580,1.968008,0.618722
945,2.584837,1.792237,0.606095
946,2.539562,1.694424,0.599781
947,2.488170,1.393437,0.593468
948,2.441925,1.770901,0.669230
949,2.380668,1.680301,0.667125
950,2.324296,1.441501,0.627140
951,2.276093,1.106924,0.614513
952,2.232943,1.082645,1.029099
953,2.229367,1.793924,1.117487
954,2.189599,2.006765,0.854425
955,2.190887,1.937497,0.744992
956,2.213507,1.798800,0.702902
957,2.243939,1.857497,0.683961
958,2.273267,1.867054,0.652394
959,2.295948,1.691926,0.643976
960,2.308871,1.244338,0.675543
961,2.325746,1.748336,0.705006
962,2.315990,1.696648,0.658707
963,2.307312,1.520579,0.629244
964,2.295392,1.584495,0.616617
965,2.277780,1.625818,0.603990
966,2.253345,1.543087,0.585050
967,2.221855,1.386211,0.576632
968,2.183670,0.852630,0.582945
969,2.145408,0.988835,0.625035
970,2.101953,1.156461,0.622931
971,2.053240,0.972714,0.665021
972,2.033332,1.046855,1.115383
973,2.036343,1.710663,0.871261
974,2.012024,1.813679,0.738678
975,2.034054,1.719175,0.669230
976,2.079546,1.625757,0.629244
977,2.132832,1.502268,0.603990
978,2.183604,1.572241,0.593468
979,2.225485,1.536101,0.585050
980,2.254922,1.563957,0.564005
981,2.270363,1.497587,0.547169
982,2.271620,1.081691,0.538751
983,2.268378,1.053694,0.650289
984,2.248763,1.482136,0.643976
985,2.220641,1.501706,0.593468
986,2.191330,1.453668,0.572423
987,2.158575,1.465123,0.547169
988,2.121283,1.423080,0.534542
989,2.079157,1.363784,0.519811
990,2.032421,1.300289,0.511393
991,1.981621,1.026980,0.505079
992,1.937688,1.041604,0.524020
993,1.890278,1.027347,0.532438
994,1.839729,1.045753,0.507184
995,1.800024,1.090457,0.502975
996,1.766022,1.062190,0.502975
997,1.734306,0.588909,0.513497
998,1.718512,0.788990,0.610304
999,1.720427,1.164504,0.734469
1000,1.697908,1.140243,0.633453
1001,1.707705,1.161361,0.572423
1002,1.733675,1.205815,0.547169
1003,1.764807,1.188352,0.532438
1004,1.793893,1.149417,0.494557
1005,1.816506,1.099881,0.484034
1006,1.830220,1.086231,0.481930
1007,1.834011,1.031541,0.471407
1008,1.827817,0.813493,0.473512
1009,1.827774,0.716223,0.521915
1010,1.827793,0.827601,0.536646
1011,1.808243,0.870007,0.532438
1012,1.808464,0.898656,0.519811
1013,1.817221,0.907211,0.519811
1014,1.827210,0.780504,0.519811
1015,1.839279,0.908031,0.519811
1016,1.839164,0.845345,0.524020
1017,1.836093,0.788915,0.519811
1018,1.827603,0.557995,0.526124
1019,1.834834,0.738082,0.553482
1020,1.812630,0.740203,0.559796
1021,1.801397,0.777051,0.559796
1022,1.793877,0.784575,0.557691
1023,1.785389,0.693534,0.553482
1024,1.773122,0.722226,0.540855
1025,1.755598,0.737345,0.530333
1026,1.732265,0.521623,0.572423
1027,1.731150,0.475780,0.686066
1028,1.750446,0.636703,1.959286
1029,1.778313,0.829859,1.521551
1030,1.812020,0.708783,1.151159
1031,1.913029,0.910971,1.229026
1032,2.044082,0.884714,0.974382
1033,2.178382,0.751711,0.841798
1034,2.312886,0.775325,0.763932
1035,2.433999,0.707609,0.747096
1036,2.556243,0.628704,0.774455
1037,2.630459,0.482737,0.747096
1038,2.695903,0.429853,0.694484
1039,2.745313,0.438609,0.662916
1040,2.775011,0.508481,0.646080
1041,2.783812,0.547214,0.637662
1042,2.772204,0.497822,0.631349
1043,2.741743,0.429864,0.618722
1044,2.694608,0.463828,0.610304
1045,2.633288,0.468543,0.606095
1046,2.560356,0.468015,0.601886
1047,2.478321,0.469861,0.597677
1048,2.389532,0.517823,0.593468
1049,2.296119,0.546399,0.591363
1050,2.199964,0.604021,0.591363
1051,2.102694,0.608015,0.591363
1052,2.005680,0.613081,0.591363
1053,1.910057,0.550803,0.591363
1054,1.816950,0.439672,0.641871
1055,1.779115,0.515284,0.894411
1056,1.702881,0.399045,0.942814
1057,1.684805,0.459872,0.951232
1058,1.678254,0.400787,0.871261
1059,1.709203,0.368403,0.799709
1060,1.757735,0.363573,0.787082
1061,1.810365,0.401869,0.770246
1062,1.858360,0.483827,0.774455
1063,1.896459,0.538717,0.772350
1064,1.921879,0.523851,1.045935
1065,1.999824,0.504348,19.319274
1066,2.209846,0.568251,35.145084
1067,2.385712,0.567192,53.664650
1068,2.745248,0.430069,16.583429
1069,3.167698,0.436639,5.029746
1070,3.794987,0.495791,3.430329
1071,4.500647,0.546049,2.630620
1072,5.199835,0.629161,2.167631
1073,5.838442,0.611328,2.714800
1074,6.475387,0.517849,6.502893
1075,6.957655,0.524397,4.503622
1076,7.353208,0.621996,3.177789
1077,7.713619,0.625123,3.219879
1078,8.096593,0.616757,5.576915
1079,8.348287,0.425287,4.187947
1080,8.542043,0.421982,3.072564
1081,8.719591,0.458757,2.483305
1082,8.850800,0.453644,2.083451
1083,8.919500,0.415998,1.807762
1084,8.919289,0.474805,1.622566
1085,8.850384,0.512701,1.494192
1086,8.731792,0.519538,1.416326
1087,8.552904,0.630739,1.447893
1088,8.367064,0.537995,1.786717
1089,8.142599,0.466312,1.841434
1090,7.899332,0.476080,1.647820
1091,7.676059,0.553389,1.506819
1092,7.456444,0.536106,1.452102
1093,7.254312,0.496528,1.477356
1094,7.026036,0.478389,1.431057
1095,6.795753,0.509955,1.348982
1096,6.570405,0.513024,1.285847
1097,6.343232,0.530628,1.243757
1098,6.122933,0.498764,1.357400
1099,5.910294,0.489298,1.380549
1100,5.675384,0.480897,1.321624
1101,5.461972,0.522123,1.271116
1102,5.259845,0.525104,1.222712
1103,5.062694,0.553024,1.203772
1104,4.872245,0.578596,1.292161
1105,4.706757,0.535080,1.277429
1106,4.514042,0.455574,1.207981
1107,4.347491,0.492986,1.180622
1108,4.235431,0.579364,1.279534
1109,4.116398,0.551646,2.081347
1110,4.056168,0.446598,2.904205
1111,3.983028,0.428602,2.167631
1112,3.967109,0.458420,1.856166
1113,3.977497,0.507092,1.681492
1114,3.993535,0.470367,1.521551
1115,4.002108,0.550913,1.391072
1116,3.995549,0.630444,1.317415
1117,3.970056,0.660140,1.269011
1118,3.924496,0.657591,1.281638
1119,3.884456,0.625687,1.285847
1120,3.801560,0.675173,1.205876
1121,3.723046,0.712525,1.132219
1122,3.642774,0.735275,1.077502
1123,3.557315,0.771978,1.050144
1124,3.465136,0.823299,1.033308
1125,3.365981,0.813131,1.008054
1126,3.260419,0.835937,0.970173
1127,3.149512,0.796948,0.965964
1128,3.034581,0.772704,0.947023
1129,2.917037,0.848222,0.928083
1130,2.798271,0.911912,0.911247
1131,2.679581,0.915849,0.902829
1132,2.562131,0.778792,0.883888
1133,2.446925,0.790288,0.850216
1134,2.334803,0.677421,0.831276
1135,2.226442,0.637042,0.810231
1136,2.122365,0.762399,0.791291
1137,2.022957,0.885587,0.782873
1138,1.928476,0.902785,0.780768
1139,1.841858,0.760158,0.780768
1140,1.765221,0.752514,0.793395
1141,1.701677,0.912560,0.909142
1142,1.669445,1.092923,0.959650
1143,1.623569,0.862006,0.955441
1144,1.668967,0.912320,1.252175
1145,1.707275,1.176920,1.348982
1146,1.771014,1.022518,1.300579
1147,1.879897,1.158653,1.212190
1148,2.006488,1.212066,1.144846
1149,2.132404,1.042434,1.656238
1150,2.315555,0.867059,3.325104
1151,2.448725,1.056909,2.883160
1152,2.580973,0.860642,3.872273
1153,2.800092,0.958180,5.450645
1154,2.975076,1.375713,3.598688
1155,3.184361,1.408698,2.693755
1156,3.394428,1.406810,2.167631
1157,3.583905,1.539979,1.849852
1158,3.740247,1.649820,1.668865
1159,3.857202,1.642762,1.521551
1160,3.932899,1.481539,1.399490
1161,3.968410,1.379318,1.338460
1162,3.966684,1.603945,1.252175
1163,3.931770,1.709884,1.163786
1164,3.868258,1.709449,1.245862
1165,3.780891,1.289692,25.885302
1166,3.838305,1.161667,18.119711
1167,3.722463,1.228539,5.576915
1168,3.717505,1.246117,3.788093
1169,3.781908,1.380624,2.820025
1170,3.875458,1.447924,2.293901
1171,3.971341,1.501713,1.948763
1172,4.052590,1.691996,1.710955
1173,4.109370,1.268770,2.043466
1174,4.183304,1.269968,3.851228
1175,4.217173,1.475093,3.261969
1176,4.220409,1.553135,2.609575
1177,4.246177,1.294130,2.293901
1178,4.285739,1.110107,2.293901
1179,4.325579,1.650671,2.167631
1180,4.330195,1.379181,1.917196
1181,4.345122,1.476079,1.788822
1182,4.347986,1.767004,1.681492
1183,4.332825,1.705684,1.586790
1184,4.305396,1.642112,1.496297
1185,4.260697,1.249325,1.529969
1186,4.211867,1.600168,1.555223
1187,4.131287,1.591797,1.426848
1188,4.042619,1.420559,1.342668
1189,3.947207,1.547299,1.271116
1190,3.843150,1.815700,1.226921
1191,3.730128,1.890412,1.180622
1192,3.608842,1.821158,1.134323
1193,3.480601,1.239413,1.119592
1194,3.360544,2.064407,1.117487
1195,3.223270,2.194934,1.079606
1196,3.094782,2.222615,1.048039
1197,2.971906,2.233144,1.016472
1198,2.852737,2.118166,0.989113
1199,2.736255,2.003237,0.963859
1200,2.622034,2.172482,0.940710
1201,2.510035,2.092054,0.930187
1202,2.401587,1.622541,1.058562
1203,2.313768,1.992353,1.052248
1204,2.210686,2.047028,0.982800
1205,2.126550,1.620581,0.970173
1206,2.058404,0.999019,1.111174
1207,2.022806,1.094958,1.464729
1208,1.992005,2.060108,1.525760
1209,1.961235,2.302468,1.361609
1210,1.965660,2.276285,1.243757
1211,1.987490,2.141596,1.163786
1212,2.014643,1.409057,1.094338
1213,2.039255,1.129930,1.052248
1214,2.056543,1.533355,1.014367
1215,2.064745,1.762621,0.980695
1216,2.061190,1.932272,0.949128
1217,2.047624,2.036766,0.921769
1218,2.023925,2.005964,0.890202
1219,1.991472,1.776336,0.862843
1220,1.951357,1.877207,0.833380
1221,1.904827,1.776375,0.808126
1222,1.853170,1.442547,0.797604
1223,1.797638,1.423811,0.784977
1224,1.739400,1.528234,0.772350
1225,1.679510,1.646320,0.761828
1226,1.618896,1.682947,0.751305
1227,1.558351,1.728239,0.738678
1228,1.498541,1.678900,0.736574
1229,1.440009,1.117674,1.351086
1230,1.435995,2.043611,1.374236
1231,1.380682,2.054697,1.018576
1232,1.369243,1.982015,0.877575
1233,1.383128,1.730969,0.822858
1234,1.409338,1.787705,0.787082
1235,1.439029,1.724828,0.913351
1236,1.466839,1.406315,0.883888
1237,1.512923,1.378550,0.816544
1238,1.536374,1.797489,0.940710
1239,1.561235,2.005460,0.829171
1240,1.595773,1.775717,0.747096
1241,1.630992,1.305910,0.734469
1242,1.661186,1.367899,0.734469
1243,1.683031,1.330739,0.732365
1244,1.694898,1.206351,0.717633
1245,1.696330,0.816274,0.723947
1246,1.708811,1.174878,0.883888
1247,1.712960,1.973163,0.904933
1248,1.703056,1.916252,0.761828
1249,1.712966,1.862750,0.721842
1250,1.730810,1.242876,0.848112
1251,1.776034,0.991662,1.683597
1252,1.864081,1.784558,2.104496
1253,1.909904,2.731028,2.588530
1254,1.997809,1.839902,2.251811
1255,2.174135,2.278506,1.946659
1256,2.319996,1.725820,1.820389
1257,2.517059,2.716683,1.641507
1258,2.693500,2.166742,1.515237
1259,2.878090,1.914101,1.431057
1260,3.079102,1.949365,1.388967
1261,3.215746,2.178628,1.283743
1262,3.354687,2.828438,1.189040
1263,3.477777,3.008340,1.136428
1264,3.574397,2.850135,0.907038
1265,3.639281,2.590566,0.852321
1266,3.670879,2.152624,0.980695
1267,3.723375,2.948779,0.961755
1268,3.692270,2.788386,1.584686
1269,3.676713,2.632673,1.073293
1270,3.661720,2.586535,0.873366
1271,3.638081,2.654913,0.793395
1272,3.600719,2.591454,0.755514
1273,3.547453,1.688634,1.576268
1274,3.523542,1.861134,3.788093
1275,3.462435,2.707914,1.995062
1276,3.399864,2.739981,1.393176
1277,3.364733,2.223359,1.136428
1278,3.339709,1.366092,1.144846
1279,3.325085,2.146822,1.056457
1280,3.292904,1.811582,1.085920
1281,3.307542,2.340395,1.607835
1282,3.272760,1.781127,1.955077
1283,3.298231,2.065653,3.598688
1284,3.325920,2.856982,2.630620
1285,3.362467,2.934734,1.875106
1286,3.426197,2.822073,1.481565
1287,3.493809,2.686280,1.229026
1288,3.550503,2.594063,1.085920
1289,3.587638,2.572676,0.987009
1290,3.600943,2.579916,0.904933
1291,3.589172,2.249362,0.843903
1292,3.553099,1.355148,0.869157
1293,3.505997,1.590492,0.915456
1294,3.436376,1.369893,0.862843
1295,3.369372,2.255685,0.806022
1296,3.281947,2.356633,0.753410
1297,3.204730,2.343522,0.711320
1298,3.130109,2.211120,0.723947
1299,3.053481,1.505745,0.831276
1300,2.988560,1.781176,0.879679
1301,2.906084,1.930335,0.850216
1302,2.828779,1.983432,0.812335
1303,2.754736,2.004048,0.873366
1304,2.683393,1.888605,0.782873
1305,2.611334,1.851646,0.719738
1306,2.538545,1.880656,0.683961
1307,2.460621,1.782853,0.675543
1308,2.380820,1.251817,0.761828
1309,2.311893,1.508051,0.816544
1310,2.237301,1.930334,0.726051
1311,2.162279,1.836966,0.673439
1312,2.099519,1.604429,0.679752
1313,2.043248,1.414355,0.709215
1314,1.989694,1.090581,0.671334
1315,1.939529,1.189660,0.669230
1316,1.888934,1.669062,0.652394
1317,1.835691,1.621211,0.631349
1318,1.784921,1.612953,0.625035
1319,1.739114,1.665912,0.627140
1320,1.688712,1.477368,0.658707
1321,1.640943,1.304990,0.671334
1322,1.594222,1.403582,0.618722
1323,1.550482,1.177143,0.606095
1324,1.506752,1.360494,0.721842
1325,1.461690,1.347678,0.627140
1326,1.420049,1.382725,0.595572
1327,1.380227,1.341205,0.574527
1328,1.341247,1.262533,0.566109
1329,1.302567,1.111124,0.555587
1330,1.263949,1.208745,0.551378
1331,1.225354,1.041817,0.559796
1332,1.186867,0.863157,0.593468
1333,1.170884,1.270594,0.692379
1334,1.140480,1.441566,0.759723
1335,1.120586,1.156877,0.719738
1336,1.124142,0.997363,3.072564
1337,1.209405,2.016964,2.146586
1338,1.221952,2.018331,1.296370
1339,1.300167,2.056215,1.029099
1340,1.411628,1.958116,0.898620
1341,1.534009,1.791951,0.955441
1342,1.652500,1.165307,9.154558
1343,1.845600,1.099595,7.071107
1344,2.001407,2.068601,3.093609
1345,2.134975,2.184655,2.230766
1346,2.340205,2.242722,1.811971
1347,2.571426,2.277450,1.416326
1348,2.798209,2.180104,1.191145
1349,3.001346,1.982204,1.054353
1350,3.169770,1.986380,0.942814
1351,3.298202,1.879289,0.852321
1352,3.385372,1.854723,0.793395
1353,3.432693,1.852443,0.753410
1354,3.443270,1.744831,0.719738
1355,3.421184,1.725211,0.688170
1356,3.370980,1.572921,0.683961
1357,3.297304,1.155166,1.908778
1358,3.289317,1.603572,2.504350
1359,3.181118,1.564549,1.616253
1360,3.128622,1.479285,1.252175
1361,3.112744,1.165599,1.761463
1362,3.192587,1.364124,2.925250
1363,3.213228,1.388293,2.335991
1364,3.272923,1.498156,1.679388
1365,3.384799,1.148695,1.418430
1366,3.544254,1.455987,2.609575
1367,3.665023,1.645055,1.969808
1368,3.788863,1.592920,1.412117
1369,3.896797,1.499771,1.178518
1370,3.977752,1.491163,1.050144
1371,4.026265,1.472448,0.989113
1372,4.040766,1.444037,0.928083
1373,4.022283,1.136790,0.885993
1374,3.980896,1.119992,0.858634
1375,3.907268,1.299054,0.818649
1376,3.814917,1.253472,0.782873
1377,3.708870,1.214579,0.755514
1378,3.590665,1.170836,0.738678
1379,3.462363,1.149120,0.723947
1380,3.326249,1.086477,0.726051
1381,3.184641,1.022235,0.707111
1382,3.039750,1.080040,0.694484
1383,2.893600,1.124938,0.715529
1384,2.747982,1.127957,0.698693
1385,2.604433,0.837483,0.734469
1386,2.491394,0.782359,0.818649
1387,2.374437,0.892300,0.766037
1388,2.264741,0.829652,0.719738
1389,2.187669,0.828165,0.698693
1390,2.130120,0.910100,0.696588
1391,2.083037,0.935174,0.713424
1392,2.040357,0.942900,0.711320
1393,1.998214,0.907589,0.705006
1394,1.954320,0.850376,0.681857
1395,1.907505,0.795221,0.673439
1396,1.857363,0.692736,0.694484
1397,1.825151,0.717417,0.778664
1398,1.768770,0.726278,0.784977
1399,1.726839,0.593952,0.757619
1400,1.704222,0.500624,0.799709
1401,1.691240,0.568047,0.778664
1402,1.685421,0.590548,0.808126
1403,1.711554,0.744926,0.888097
1404,1.727507,0.664099,0.921769
1405,1.798594,0.435891,1.020681
1406,1.883405,0.349939,1.031203
1407,1.962069,0.458283,0.963859
1408,2.061930,0.539840,0.896515
1409,2.163976,0.600701,0.850216
1410,2.256033,0.626015,0.814440
1411,2.330901,0.584290,0.797604
1412,2.387605,0.569558,0.860739
1413,2.467508,0.576190,1.121696
1414,2.479574,0.522224,1.216399
1415,2.510558,0.527472,1.066980
1416,2.544989,0.514393,0.974382
1417,2.573018,0.555597,0.923874
1418,2.588869,0.537760,0.911247
1419,2.589660,0.539704,0.885993
1420,2.574512,0.607750,0.869157
1421,2.543884,0.538339,1.029099
1422,2.554069,0.589421,2.883160
1423,2.574121,0.613305,3.556598
1424,2.548559,0.468138,2.272856
1425,2.625136,0.558984,2.188676
1426,2.748613,0.560741,3.009429
1427,2.867777,0.439051,2.378081
1428,3.018904,0.379834,1.938241
1429,3.172722,0.389921,1.681492
1430,3.310549,0.405982,1.496297
1431,3.421394,0.417381,1.355295
1432,3.499748,0.418568,1.252175
1433,3.543915,0.404375,1.153264
1434,3.554755,0.419181,1.092233
1435,3.562000,0.401306,1.085920
1436,3.515429,0.348335,1.026994
1437,3.465761,0.352474,0.989113
1438,3.420773,0.376434,0.963859
1439,3.354263,0.380442,0.961755
1440,3.285662,0.377284,1.064875
1441,3.234265,0.406184,1.100651
1442,3.152853,0.357826,1.050144
1443,3.080495,0.378923,1.014367
1444,3.011482,0.418208,0.984904
1445,2.940791,0.480824,0.959650
1446,2.865656,0.458262,0.976486
1447,2.798369,0.429283,0.989113
1448,2.719259,0.399959,0.976486
1449,2.637866,0.429671,0.959650
1450,2.563976,0.450025,1.245862
1451,2.552579,0.434173,1.689910
1452,2.480365,0.460868,1.696224
1453,2.479255,0.523214,2.925250
1454,2.532378,0.388230,4.693026
1455,2.567292,0.355843,3.535553
1456,2.646671,0.379196,2.946295
1457,2.771320,0.395411,2.567485
1458,2.893471,0.429756,2.293901
1459,3.019135,0.523557,2.077138
1460,3.125675,0.599500,1.877210
1461,3.220263,0.562522,1.723582
