timestep,Q_sim_mm_d,Ea_sim_mm_d,Q_obs_mm_d
187,4.891228,2.445789,4.798251
188,5.002983,3.222391,3.724958
189,5.105384,2.476778,5.366465
190,5.274740,3.560465,3.346149
191,5.340431,3.242126,2.420170
192,5.432512,2.362237,3.030474
193,5.562549,2.403609,4.398397
194,5.654095,2.732288,3.135699
195,5.724684,3.032628,2.357036
196,5.790305,3.214364,1.856166
197,5.842133,2.381688,1.639402
198,5.876847,2.213148,1.563641
199,5.883331,2.972846,1.351086
200,5.843964,2.106401,1.332146
201,5.816536,2.311477,1.687806
202,5.747338,2.761089,1.393176
203,5.664591,2.730963,1.207981
204,5.579365,2.577151,1.125905
205,5.482532,2.050383,1.081711
206,5.387771,2.128102,1.052248
207,5.280334,2.947822,1.005949
208,5.146401,2.837256,0.938605
209,5.023606,2.692590,0.894411
210,4.901665,2.616359,0.860739
211,4.774584,2.502313,0.833380
212,4.639391,1.941651,0.841798
213,4.524191,1.858836,1.403699
214,4.381072,1.830567,1.201667
215,4.255274,2.385428,1.008054
216,4.132361,2.557463,0.885993
217,4.024823,2.407824,0.820753
218,3.923052,2.190634,0.780768
219,3.821104,1.964568,0.770246
220,3.715653,1.953059,0.744992
221,3.605190,1.956544,0.698693
222,3.489434,1.952512,0.671334
223,3.368891,1.881626,0.665021
224,3.244538,1.882428,0.650289
225,3.117595,1.815990,0.635558
226,2.989365,1.739007,0.620826
227,2.861127,1.702946,0.612408
228,2.734071,1.627287,0.603990
229,2.609253,1.350524,0.599781
230,2.487576,1.345417,0.665021
231,2.372914,1.557002,0.635558
232,2.259569,1.459899,0.601886
233,2.153606,1.486359,0.585050
234,2.054227,1.428901,0.570318
235,1.960849,1.369902,0.561900
236,1.873035,1.312140,0.570318
237,1.790448,1.028568,0.561900
238,1.717074,1.004116,0.557691
239,1.652165,1.315337,0.576632
240,1.589964,1.342503,0.726051
241,1.537247,1.298767,0.627140
242,1.495263,1.150232,0.614513
243,1.460049,0.920064,1.081711
244,1.480629,1.678268,0.987009
245,1.451073,1.262825,0.982800
246,1.487326,1.764353,0.989113
247,1.521937,1.660124,0.757619
248,1.584934,1.595287,0.677648
249,1.658910,1.592263,0.637662
250,1.732231,1.494458,0.612408
251,1.797518,1.520472,0.601886
252,1.850480,1.542761,0.593468
253,1.889026,1.257780,0.669230
254,1.914955,0.840668,0.662916
255,1.930948,1.191703,0.614513
256,1.928341,1.398133,0.652394
257,1.920320,0.992806,1.060666
258,1.933552,0.975411,1.121696
259,1.920706,0.590861,1.001740
260,1.932765,1.356170,0.919665
261,1.938532,1.459129,0.793395
262,1.963388,1.472815,0.717633
263,1.994374,1.432093,0.665021
264,2.023030,1.405791,0.622931
265,2.044180,1.080652,0.616617
266,2.058893,0.782862,0.643976
267,2.084421,1.116771,0.688170
268,2.074988,0.750155,0.679752
269,2.107974,0.822321,0.820753
270,2.124850,1.366380,0.885993
271,2.149817,1.214915,0.835485
272,2.191421,0.589724,0.803917
273,2.257640,0.603418,1.414221
274,2.379818,0.851069,3.535553
275,2.493679,1.476914,4.145857
276,2.622281,1.794183,2.293901
277,2.807629,1.622529,1.567850
278,3.044318,1.550602,1.266907
279,3.290778,1.617980,1.130114
280,3.520028,1.560287,1.033308
281,3.715740,1.295875,0.955441
282,3.869237,1.239786,0.907038
283,3.977207,1.277032,0.869157
284,4.039990,1.311950,0.837589
285,4.060300,1.319912,0.812335
286,4.042289,1.320888,0.789186
287,3.990868,1.262201,0.770246
288,3.911230,1.248200,0.755514
289,3.808521,1.148170,0.749201
290,3.687621,0.755224,1.115383
291,3.641928,0.924240,1.534178
292,3.503777,0.530608,1.153264
293,3.432754,0.586286,1.018576
294,3.398592,0.922309,0.938605
295,3.384989,1.051472,0.869157
296,3.385226,1.086170,0.835485
297,3.385243,1.053670,0.808126
298,3.376389,1.002766,0.780768
299,3.353894,0.971710,0.761828
300,3.315708,0.915756,0.742887
301,3.261626,0.904809,0.711320
302,3.192645,0.866682,0.698693
303,3.110489,0.857982,0.690275
304,3.017268,0.687039,0.690275
305,2.925836,0.623522,0.690275
306,2.817138,0.612262,0.690275
307,2.712336,0.582212,0.683961
308,2.609601,0.568161,0.673439
309,2.508009,0.635234,0.669230
310,2.407240,0.597760,0.717633
311,2.353360,0.618589,0.894411
312,2.268261,0.621173,1.403699
313,2.256916,0.700125,2.378081
314,2.228382,0.654881,1.809867
315,2.256100,0.690755,1.388967
316,2.312114,0.720583,1.207981
317,2.376845,0.694665,1.096442
318,2.437497,0.645604,1.254280
319,2.531692,0.638912,3.451374
320,2.617142,0.588439,6.208263
321,2.713078,0.435001,4.187947
322,2.805661,0.485439,2.609575
323,2.949443,0.536355,1.946659
324,3.108748,0.587178,1.597313
325,3.260158,0.620759,1.416326
326,3.389232,0.480767,1.321624
327,3.521513,0.405350,1.574163
328,3.641351,0.426603,1.652029
329,3.697880,0.497930,1.439475
330,3.780086,0.594218,1.332146
331,3.863134,0.645661,1.245862
332,3.934416,0.650751,1.176413
333,3.978941,0.425883,1.096442
334,3.997881,0.391961,1.029099
335,3.989184,0.421335,0.980695
336,3.953274,0.427457,0.936501
337,3.892156,0.378169,0.902829
338,3.808775,0.339842,0.873366
339,3.706545,0.411294,0.860739
340,3.589028,0.520936,0.852321
341,3.459710,0.466690,0.841798
342,3.321860,0.353648,0.841798
343,3.197391,0.301327,0.864948
344,3.072879,0.321765,0.864948
345,2.940336,0.382037,0.841798
346,2.836437,0.350566,0.841798
347,2.756068,0.277479,0.833380
348,2.675901,0.302036,0.808126
349,2.607705,0.326522,0.812335
350,2.544683,0.236884,0.818649
351,2.482533,0.237288,0.791291
352,2.418771,0.281367,0.782873
353,2.352097,0.292886,0.797604
354,2.303334,0.270933,0.833380
355,2.230091,0.252016,0.810231
356,2.170935,0.182134,0.742887
357,2.119068,0.158140,0.763932
358,2.070020,0.196846,0.881784
359,2.021021,0.261387,0.793395
360,1.970506,0.319550,0.776559
361,1.917755,0.384452,0.761828
362,1.862616,0.340974,0.759723
363,1.805304,0.383045,0.747096
364,1.746257,0.464682,0.925978
365,1.731384,0.485770,6.481848
366,1.773685,0.421157,9.175603
367,1.747081,0.420275,4.124812
368,1.822243,0.466320,2.777935
369,1.951692,0.558254,3.072564
370,2.160893,0.548944,4.377352
371,2.310454,0.464981,3.198834
372,2.492175,0.485380,2.546440
373,2.675382,0.480883,2.209721
374,2.862624,0.559492,2.007689
375,3.003426,0.531710,1.780404
376,3.127003,0.570404,1.593104
377,3.224465,0.541903,1.443684
378,3.291583,0.421351,1.315310
379,3.327354,0.466473,1.218503
380,3.332919,0.587991,1.155368
381,3.310773,0.666771,1.104860
382,3.264179,0.731567,1.083815
383,3.196762,0.632989,1.296370
384,3.147722,0.603550,1.359504
385,3.057499,0.649162,1.281638
386,3.023438,0.633588,2.798980
387,2.968644,0.591991,2.967339
388,2.944276,0.657283,2.399126
389,2.949326,0.692915,2.066615
390,2.964671,0.618658,1.862479
391,2.993499,0.586706,1.685701
392,2.996808,0.675254,1.517342
393,2.998598,0.738165,1.367922
394,2.991661,0.629144,1.578372
395,3.042611,0.654022,2.567485
396,3.008137,0.712356,2.441215
397,3.014970,0.819667,2.096078
398,3.039113,0.824081,2.209721
399,3.111650,0.839887,16.436114
400,3.258644,0.866701,48.613859
401,3.410579,0.813715,16.204620
402,3.553669,0.926032,5.492735
403,3.834231,0.923168,3.893318
404,4.175379,1.013944,3.072564
405,4.517434,1.078560,2.630620
406,4.831322,0.928894,11.174874
407,5.214794,1.041773,11.743088
408,5.417266,1.121920,5.324375
409,5.649124,1.251884,3.788093
410,5.869204,1.089325,3.030474
411,6.052167,0.823013,2.567485
412,6.211030,0.939421,3.872273
413,6.330467,1.116536,4.714071
414,6.368367,0.991549,3.198834
415,6.398887,1.057888,2.651665
416,6.404779,1.164859,2.314946
417,6.376828,1.193144,2.028734
418,6.311569,1.104461,1.976122
419,6.224958,1.300833,1.887733
420,6.088243,0.958933,1.675179
421,5.933782,1.029244,1.492088
422,5.760958,0.980000,1.382654
423,5.571057,1.350509,1.315310
424,5.366516,1.394638,1.271116
425,5.150382,0.881157,1.241653
426,4.942356,0.577149,1.355295
427,4.756175,0.953043,1.788822
428,4.563576,1.382739,1.910882
429,4.386185,1.435659,1.765672
430,4.254763,1.592465,1.654134
431,4.148334,1.621093,1.569954
432,4.052825,0.981096,1.902464
433,4.018865,0.943041,4.629891
434,3.974198,1.305661,5.871544
435,3.947021,2.013760,4.103767
436,3.949566,1.858910,3.114654
437,4.002867,1.940617,2.546440
438,4.073903,2.045278,2.272856
439,4.141045,1.489373,2.756890
440,4.250286,0.975367,10.122626
441,4.350789,1.371670,7.870815
442,4.403142,1.788893,4.735116
443,4.503539,1.848160,3.472419
444,4.628665,1.327859,2.777935
445,4.749231,1.618891,2.378081
446,4.847087,1.934294,2.146586
447,4.912100,1.968406,1.946659
448,4.939791,1.757700,1.788822
449,4.929546,1.303198,1.670970
450,4.883983,1.255672,1.553118
451,4.805219,1.568295,1.443684
452,4.698841,1.767089,1.348982
453,4.569319,1.095070,1.319519
454,4.428294,1.044642,1.302683
455,4.280697,1.440241,1.431057
456,4.126588,2.103101,1.313206
457,3.967665,1.776479,1.205876
458,3.830172,1.778674,1.142741
459,3.693857,1.823088,1.111174
460,3.566684,2.018797,1.090129
461,3.443888,1.562534,1.117487
462,3.354634,1.494891,1.189040
463,3.234882,1.761210,1.121696
464,3.138239,1.985921,1.069084
465,3.056464,1.698691,1.064875
466,3.000051,1.423755,1.098547
467,2.952245,1.719406,1.088024
468,2.891707,1.865551,1.052248
469,2.856503,1.839833,1.037517
470,2.832373,1.499375,1.037517
471,2.813065,1.852632,1.037517
472,2.786475,1.608061,1.043830
473,2.769990,1.705788,1.094338
474,2.738919,1.969021,1.058562
475,2.702988,1.806823,1.026994
476,2.671435,1.365779,2.777935
477,2.720398,1.906648,4.756161
478,2.717017,2.734462,2.841070
479,2.735705,2.752664,2.146586
480,2.810675,2.605327,1.816180
481,2.909259,2.541115,1.620462
482,3.009596,2.366149,1.456311
483,3.097786,1.772361,1.391072
484,3.200780,1.974918,1.372131
485,3.256243,2.417952,1.271116
486,3.301558,2.003382,1.197458
487,3.346949,1.159700,1.416326
488,3.413174,1.582810,1.955077
489,3.469386,1.847272,1.700433
490,3.515200,1.914129,1.809867
491,3.605159,2.157228,1.824598
492,3.672356,2.484430,1.569954
493,3.775424,2.627283,1.401594
494,3.884733,1.960354,1.313206
495,3.987059,1.674931,1.294265
496,4.070091,2.235439,1.212190
497,4.117355,2.100961,1.167995
498,4.143796,1.663193,1.266907
499,4.172502,2.641884,1.184831
500,4.146871,2.654610,1.090129
501,4.117327,2.121755,1.043830
502,4.076361,1.794081,1.140637
503,4.056469,2.546253,1.199563
504,3.983424,2.476565,1.064875
505,3.922933,1.537464,1.715164
506,3.917580,1.614976,5.913634
507,3.896029,1.798205,4.461532
508,3.895810,2.167559,3.156744
509,3.909821,2.479975,2.462260
510,3.967700,2.853360,2.020316
511,4.038879,2.617707,1.738314
512,4.103503,2.088794,1.612044
513,4.157268,1.856485,1.532073
514,4.185386,2.549277,1.338460
515,4.184702,2.710799,1.189040
516,4.165570,2.568374,1.088024
517,4.125327,2.339621,1.018576
518,4.063724,2.069585,0.953337
519,3.982085,1.584050,1.216399
520,3.949677,2.230483,1.266907
521,3.834624,2.650767,1.066980
522,3.760329,2.773635,0.974382
523,3.706001,2.795024,0.921769
524,3.657816,2.579929,0.873366
525,3.607038,2.364478,0.843903
526,3.548605,2.291793,0.812335
527,3.480036,2.387452,0.776559
528,3.400628,2.428077,0.751305
529,3.310845,2.343705,0.732365
530,3.211874,2.175184,0.723947
531,3.105843,1.544473,0.755514
532,3.008300,2.172858,0.820753
533,2.892148,2.203328,0.753410
534,2.785601,2.025829,0.717633
535,2.684828,2.189963,0.700797
536,2.587500,2.125592,0.698693
537,2.492122,1.539369,0.907038
538,2.443969,1.648394,1.079606
539,2.375384,2.295571,1.024890
540,2.319193,2.308922,0.852321
541,2.303810,2.218373,0.763932
542,2.309454,2.300500,0.717633
543,2.322652,2.243459,0.692379
544,2.334600,2.256300,0.673439
545,2.339899,2.187750,0.654498
546,2.335591,2.099315,0.639767
547,2.320431,1.869469,0.629244
548,2.294340,1.792289,0.622931
549,2.257992,2.024978,0.614513
550,2.212523,1.880224,0.595572
551,2.159312,1.853786,0.578736
552,2.099829,1.756982,0.568214
553,2.035534,1.627423,0.566109
554,1.967808,1.609017,0.572423
555,1.898873,1.550979,0.582945
556,1.827912,1.430042,0.589259
557,1.757620,1.033954,0.654498
558,1.695529,0.947496,1.559432
559,1.704574,1.308019,1.776195
560,1.662626,1.809438,1.115383
561,1.670192,2.329996,0.858634
562,1.726745,2.276344,0.759723
563,1.810832,2.342025,0.707111
564,1.903147,2.175262,0.675543
565,1.990994,2.182544,0.652394
566,2.066529,1.983035,0.639767
567,2.125400,1.987622,0.637662
568,2.165725,1.933230,0.641871
569,2.187526,1.372733,0.711320
570,2.208686,1.759242,0.770246
571,2.196257,2.042803,0.688170
572,2.183405,2.078620,0.635558
573,2.166072,2.063649,0.614513
574,2.142072,1.933053,0.599781
575,2.110524,1.970906,0.589259
576,2.071431,1.873486,0.570318
577,2.025360,1.674293,0.557691
578,1.973217,1.615083,0.549273
579,1.916081,1.570695,0.542960
580,1.855088,1.663320,0.532438
581,1.791354,1.654469,0.528229
582,1.725924,1.149447,0.555587
583,1.669946,1.294432,0.612408
584,1.608458,1.526651,0.595572
585,1.551019,1.442640,0.553482
586,1.503085,1.519425,0.530333
587,1.460924,1.467811,0.515602
588,1.422013,1.469007,0.507184
589,1.384718,1.488592,0.498766
590,1.348040,1.359160,0.488243
591,1.311434,1.148368,0.484034
592,1.274664,1.280066,0.484034
593,1.237697,1.286756,0.475616
594,1.200632,1.288021,0.460885
595,1.163641,1.285460,0.448258
596,1.126929,1.260143,0.437735
597,1.090712,1.211453,0.427213
598,1.055194,1.110237,0.437735
599,1.022773,1.093464,0.462989
600,0.989158,0.903440,0.439840
601,0.958457,0.972941,0.435631
602,0.929984,1.011044,0.431422
603,0.903261,1.031034,0.423004
604,0.877960,1.017860,0.414586
605,0.853863,0.994180,0.408272
606,0.830823,0.947098,0.399854
607,0.808749,0.869162,0.393541
608,0.787583,0.832151,0.383018
609,0.767288,0.806066,0.383018
610,0.747840,0.783399,0.378809
611,0.729222,0.769428,0.378809
612,0.711420,0.750109,0.378809
613,0.694419,0.734767,0.374600
614,0.678203,0.719368,0.370391
615,0.662751,0.696913,0.368287
616,0.648043,0.512422,0.378809
617,0.643134,0.538912,0.427213
618,0.633852,0.621920,0.423004
619,0.638477,0.680476,0.450362
620,0.646761,0.706493,0.473512
621,0.669654,0.560736,0.465094
622,0.708416,0.785198,0.462989
623,0.744374,0.850530,0.462989
624,0.813609,1.239476,0.481930
625,0.868994,1.178808,0.456676
626,0.937278,1.143859,0.429317
627,1.007765,1.137868,0.420899
628,1.073503,0.947209,0.418795
629,1.130270,0.929805,0.420899
630,1.175813,0.726216,0.441944
631,1.226205,1.016243,0.448258
632,1.247459,0.920009,0.429317
633,1.270720,0.944322,0.425108
634,1.291046,1.001204,0.418795
635,1.305495,1.033048,0.414586
636,1.312555,1.023512,0.408272
637,1.311705,0.993400,0.401959
638,1.303096,0.919417,0.393541
639,1.287305,0.796133,0.359869
640,1.265161,0.854596,0.359869
641,1.237622,0.871129,0.359869
642,1.205679,0.598957,0.454571
643,1.217224,1.059236,0.650289
644,1.178957,1.078314,0.555587
645,1.175849,1.030166,0.471407
646,1.192180,0.785654,0.507184
647,1.243603,0.745613,0.867052
648,1.288974,0.883609,0.656603
649,1.339849,0.591903,0.555587
650,1.403159,0.734741,0.505079
651,1.478745,0.809133,0.484034
652,1.553837,0.913612,0.477721
653,1.620354,0.916486,0.467198
654,1.673615,0.931607,0.458780
655,1.711353,0.933679,0.458780
656,1.732980,0.715270,0.570318
657,1.768644,0.740776,0.707111
658,1.760043,0.778026,0.597677
659,1.762069,0.806755,0.542960
660,1.766061,0.646235,0.580841
661,1.806008,0.549582,0.837589
662,1.812499,0.752652,0.774455
663,1.828691,0.715505,0.656603
664,1.864506,0.660939,0.593468
665,1.904159,0.681556,0.566109
666,1.940095,0.688555,0.542960
667,1.966569,0.641768,0.517706
668,1.980523,0.672765,0.509288
669,1.980775,0.688645,0.505079
670,1.967418,0.677452,0.502975
671,1.941365,0.680487,0.502975
672,1.904020,0.668166,0.498766
673,1.857043,0.689904,0.502975
674,1.802184,0.573186,0.526124
675,1.759875,0.470574,0.568214
676,1.697217,0.499822,0.589259
677,1.643126,0.466660,0.572423
678,1.597824,0.370788,0.650289
679,1.614442,0.437404,1.849852
680,1.653983,0.606757,1.382654
681,1.657668,0.629439,0.959650
682,1.747898,0.611429,0.768141
683,1.881651,0.614954,0.679752
684,2.029393,0.621983,0.635558
685,2.171620,0.606995,0.614513
686,2.296192,0.533192,0.646080
687,2.398174,0.490392,0.662916
688,2.470723,0.504955,0.662916
689,2.516758,0.567011,0.660812
690,2.536860,0.593759,0.650289
691,2.532877,0.546812,0.643976
692,2.515258,0.486596,0.650289
693,2.489432,0.493272,0.673439
694,2.435922,0.543198,0.671334
695,2.387763,0.544672,0.654498
696,2.339372,0.547674,0.646080
697,2.289260,0.533705,0.744992
698,2.292339,0.408102,1.115383
699,2.230449,0.375250,0.997531
700,2.211254,0.399572,0.867052
701,2.213688,0.469160,0.774455
702,2.224078,0.458229,2.314946
703,2.357482,0.448018,5.198105
704,2.357358,0.370911,2.504350
705,2.445511,0.391852,1.748836
706,2.576680,0.419100,1.386863
707,2.719552,0.348553,1.229026
708,2.853682,0.382695,1.115383
709,2.966576,0.383026,1.029099
710,3.051449,0.396361,0.961755
711,3.105532,0.418342,0.911247
712,3.128793,0.476725,0.858634
713,3.122989,0.453044,0.827067
714,3.113057,0.499378,0.827067
715,3.059787,0.453393,0.814440
716,3.021907,0.473212,0.862843
717,2.997837,0.548477,2.081347
718,3.009807,0.480708,4.356307
719,3.036145,0.499070,3.135699
720,3.074321,0.535355,4.798251
721,3.259479,0.567019,17.046418
722,3.530892,0.444183,17.298958
723,3.768390,0.305740,7.134242
724,4.092146,0.312645,4.103767
725,4.489654,0.360708,3.030474
726,4.904826,0.391207,2.609575
727,5.340296,0.492393,5.050791
728,5.710192,0.594903,4.693026
729,6.029215,0.688636,4.524667
730,6.356195,0.415945,12.269212
731,6.661101,0.425410,6.629163
