day,DVS,LAI,TAGP,TWSO,TWLV,TWST,TWRT,TRA,RD,SM,WWLOW,RFTRA
1980-06-01,,,,,,,,,,0.31,54.8,
1980-06-02,,,,,,,,,,0.29944772660718466,53.69447726607184,
1980-06-03,,,,,,,,,,0.27594657463697836,52.45946574636978,
1980-06-04,,,,,,,,,,0.2578796193440988,51.27879619344098,
1980-06-05,,,,,,,,,,0.24209794919148803,50.12097949191487,
1980-06-06,,,,,,,,,,0.22791459553264462,48.979145955326445,
1980-06-07,,,,,,,,,,0.22251709488565283,47.925170948856525,
1980-06-08,,,,,,,,,,0.21126933977386794,46.81269339773868,
1980-06-09,,,,,,,,,,0.2007033184068378,45.70703318406837,
1980-06-10,,,,,,,,,,0.2076528423366267,44.776528423366265,
1980-06-11,,,,,,,,,,0.19975403910497452,43.69754039104974,
1980-06-12,,,,,,,,,,0.19089161593695766,42.60891615936957,
1980-06-13,,,,,,,,,,0.18281407892165344,41.52814078921653,
1980-06-14,,,,,,,,,,0.1761620512994792,40.461620512994784,
1980-06-15,-0.1,0.04836,30.0,0.0,18.6,11.4,20.0,0.0,10.0,0.16792038855229646,39.37920388552296,0.0
1980-06-16,-0.07636363636363637,0.04836,30.0,0.0,18.6,11.4,20.0,0.0,10.0,0.159046527913238,38.29046527913238,0.0
1980-06-17,-0.056636363636363644,0.04836,30.0,0.0,18.6,11.4,20.0,0.0,10.0,0.17251805082853547,37.42518050828535,0.0
1980-06-18,-0.03763636363636365,0.04836,30.0,0.0,18.6,11.4,20.0,0.0,10.0,0.15265516622895636,36.22655166228956,0.0
1980-06-19,-0.022363636363636374,0.04836,30.0,0.0,18.6,11.4,20.0,0.0,10.0,0.15893438232058227,35.689343823205824,0.0
1980-06-20,-0.008272727272727282,0.04836,30.0,0.0,18.6,11.4,20.0,0.0,10.0,0.16828047750881397,35.78280477508814,0.0
1980-06-21,0.0,0.04836,30.0,0.0,18.6,11.4,20.0,0.0018828172584299042,10.0,0.14227511445301372,35.52275114453014,0.243438125484137
1980-06-22,0.024172661870503598,0.04892816473670576,31.03336520114974,0.0,19.240686424712838,11.792678776436901,20.688910134099824,0.0059729943369070705,12.2,0.1688447103500789,35.47790546627096,0.6420623697277851
1980-06-23,0.05251798561151079,0.05447134050262778,34.86187574969021,0.0,21.61436296480793,13.247512784882282,23.165050403575727,0.003309590748880607,14.399999999999999,0.18666133980338317,35.42392329316872,1.0
1980-06-24,0.0772661870503597,0.0576649016313952,36.917520516653994,0.0,22.888862720325477,14.02865779632852,24.44781693008041,0.0036941549854847726,16.599999999999998,0.2453658912271175,36.12707379437015,1.0
1980-06-25,0.10014388489208632,0.062089462757430165,39.81693925163872,0.0,24.686502336016005,15.130436915622715,26.201017670089065,0.009180365299236243,18.799999999999997,0.27372508473313795,36.518031592982986,1.0
1980-06-26,0.1260431654676259,0.07177560191482768,46.271964815796125,0.0,28.688618185793594,17.583346630002527,29.99136245189264,0.01234892563388025,20.999999999999996,0.26483893894713073,36.251617717889744,1.0
1980-06-27,0.15237410071942445,0.08493868778132516,55.21587913149143,0.0,34.23384506152468,20.982034069966744,35.07023384592536,0.021110114160884055,23.199999999999996,0.2671115231330002,36.204987336685605,1.0
1980-06-28,0.1851798561151079,0.10368797012669885,68.21423446055218,0.0,42.29282536554235,25.921409095009828,42.20213890347071,0.030512276587442336,25.399999999999995,0.2664169305947178,36.09299003710583,1.0
1980-06-29,0.2197122302158273,0.12666931820648533,84.56026863798341,0.0,52.42736655554972,32.132902082433695,50.79079394118995,0.03646365810112032,27.599999999999994,0.2637375391991322,35.923156081896046,1.0
1980-06-30,0.2542446043165467,0.15299903560350428,103.81417922270666,0.0,64.36479111807813,39.449388104628525,60.45040695445001,0.036215720312032934,29.799999999999994,0.26377776550820775,35.82257741214459,1.0
1980-07-01,0.2882014388489208,0.18313126787425596,126.48582238587582,0.0,78.42120987924301,48.06461250663281,71.30313986498687,0.014898902491697699,31.999999999999993,0.27145096920492706,35.966431014557664,1.0
1980-07-02,0.3162589928057553,0.1951580284539062,135.79962553440907,0.0,84.19576783133363,51.60385770307545,75.55720271287068,0.018621526444920333,34.199999999999996,0.2723713746664573,35.913101013592836,1.0
1980-07-03,0.34187050359712223,0.20877591067091925,146.60694959400917,0.0,90.89630874828569,55.71064084572349,80.26641597519111,0.017054869684098268,36.4,0.27032294275565527,35.75575511630585,1.0
1980-07-04,0.3646043165467625,0.22303459301635536,158.37727054049358,0.0,98.07451095428198,60.302759586211614,85.1502880249132,0.018920081181894137,38.6,0.27305137907301297,35.7737832322183,1.0
1980-07-05,0.38762589928057545,0.24139579843292805,174.36121425962477,0.0,107.5118954772023,66.84931878242246,91.49522389573231,0.024028626688173096,40.800000000000004,0.2730978486975471,35.69439222685992,1.0
1980-07-06,0.4149640287769783,0.2604402521703139,191.88352898201654,0.0,117.5128626098545,74.37066637216205,98.13994045285926,0.06095424980457892,43.00000000000001,0.2735326906757343,35.631905699056574,1.0
1980-07-07,0.44589928057553946,0.30522981289039736,235.98848868165834,0.0,141.65566947706864,94.33281920458971,113.96136927201681,0.04211107735707912,45.20000000000001,0.27295842211603505,35.52572067964478,1.0
1980-07-08,0.47697841726618695,0.33287272266646023,265.47259687730065,0.0,157.01567500146766,108.45692187583299,123.87557142605323,0.023516221400185888,47.40000000000001,0.27327034626088254,35.459014412765825,1.0
1980-07-09,0.4991366906474819,0.3490832874501062,284.27449256964445,0.0,166.31133715050558,117.96315541913886,129.7872785822748,0.021724958234307316,49.600000000000016,0.2815156185503678,35.78717468009823,1.0
1980-07-10,0.5233093525179855,0.3641307458049702,302.8459521466467,0.0,175.14141636047717,127.70453578616952,135.34541913616667,0.03290513825213394,51.80000000000002,0.28036326076251517,35.66481690749828,1.0
1980-07-11,0.550503597122302,0.3826420201218672,327.3540537243343,0.0,186.28790612720516,141.06614759712912,142.28522590272308,0.026139170128045248,54.00000000000002,0.28027975840811975,35.59510695403846,1.0
1980-07-12,0.5751079136690646,0.3969429118534249,347.91152284274926,0.0,195.1598859487673,152.75163689398198,147.7432360124412,0.02858723753867632,56.200000000000024,0.2810443890563943,35.57269466496935,1.0
1980-07-13,0.5979856115107912,0.41135695356310314,370.30634964898667,0.0,204.35395100597134,165.95239864301533,153.34043235303938,0.03244975598342015,58.40000000000003,0.28138269579141606,35.52874943421868,1.0
1980-07-14,0.6211510791366905,0.4258636610911374,394.60863220689384,0.0,213.85600043801426,180.75263176887958,159.0708430822559,0.0893249727359942,60.60000000000003,0.28140429907993364,35.46710052424396,1.0
1980-07-15,0.6487769784172661,0.4674430202719428,470.0331141816331,0.0,241.85343002502995,228.17968415660317,175.80045806520837,0.10652631277374956,62.80000000000003,0.28039588430387347,35.340861534283235,1.0
1980-07-16,0.6801438848920862,0.5078015589238787,550.9158089938173,0.0,269.9674929949791,280.9483159988382,192.4242642581551,0.07089279346412078,65.00000000000003,0.2792811146184216,35.20327245019739,1.0
1980-07-17,0.7107913669064747,0.5321330861552322,605.9100768231089,0.0,287.6088916041659,318.301185218943,202.7393895586717,0.030718454293231903,67.20000000000003,0.27887963010619876,35.108711143136546,1.0
1980-07-18,0.7346762589928056,0.5423746075394508,632.1629350191508,0.0,295.34289091097344,336.82004410817734,207.17742530081168,0.09389747976599684,69.40000000000003,0.2864026363808484,35.56234296483086,1.0
1980-07-19,0.7631654676258992,0.5717794381462935,715.8591730503058,0.0,318.29120606453864,397.5679669857672,219.9790064993394,0.03487651846058971,71.60000000000004,0.28049037670373783,35.08711097198762,1.0
1980-07-20,0.7893525179856115,0.5793249511701289,740.4087924826445,0.0,324.4246932593522,415.9840992232922,223.27659696658515,0.02932872496141582,73.80000000000004,0.2826380925703977,35.180691231695334,1.0
1980-07-21,0.815251798561151,0.5829171536342326,753.5692187159423,0.0,327.41819531277184,426.1510234031705,224.8258784080091,0.10765676679751228,76.00000000000004,0.2858425905243681,35.364036879851966,1.0
1980-07-22,0.8458992805755395,0.6052555062144576,844.2294647613958,0.0,346.0334891296261,498.1959756317697,234.22100601134744,0.1400854680952521,78.20000000000005,0.28118436247850404,34.946617145819005,1.0
1980-07-23,0.8792805755395683,0.6278721569673239,949.4384872031962,0.0,364.880698090348,584.5577891128482,243.57387151027854,0.15557584249823075,80.40000000000005,0.27974482984869653,34.76748431983519,1.0
1980-07-24,0.9138129496402877,0.6467447747077993,1053.8583944404008,0.0,380.60787954074425,673.2505148996565,251.22709570874926,0.18236292073218793,82.60000000000005,0.2781464686449913,34.56889831007628,1.0
1980-07-25,0.9483453237410071,0.6666115465114004,1164.229348904851,0.0,397.16352271041177,767.0658261944392,257.2458680564146,0.160053328238231,84.80000000000005,0.2763266334772077,34.344498518867205,1.0
1980-07-26,0.9823021582733812,0.6871271491310752,1278.2049190141554,0.0,414.25985822680747,863.9450607873479,260.89127205985125,0.15957919395009298,87.00000000000006,0.2752810397358672,34.17945045702044,1.0
1980-07-27,1.0,0.705937562388021,1390.788773764218,12.122338317212941,429.93520260759556,948.7312328394095,262.0995976583729,0.15815584620123693,89.20000000000006,0.2736459427282427,33.957218091359245,1.0
1980-07-28,1.03,0.723607108695877,1501.2234381883184,30.528115721229675,444.6598245308089,1026.0354979362799,262.0995976583729,0.11287856340990432,89.20000000000006,0.2715157841829231,33.76720794911673,1.0
1980-07-29,1.056625,0.7389025634556863,1604.5711054843275,58.0874936668321,457.40603683065007,1089.0775749868453,262.0995976583729,0.08965729261617898,89.20000000000006,0.27436086562786527,34.02098921400557,1.0
1980-07-30,1.082125,0.74911568845372,1678.9294964419807,84.51570511969797,465.91697432901145,1128.4968169932713,262.0995976583729,0.040382319052839497,89.20000000000006,0.2706179769153016,33.687123540844894,1.0
1980-07-31,1.104625,0.7522748637516634,1703.7755467600575,95.45831978061764,468.549620410631,1139.767606568809,262.0995976583729,0.052559843399197,89.20000000000006,0.2732634168456431,33.923096782631355,1.0
1980-08-01,1.12825,0.756560863470234,1741.2242118414954,115.04865270134474,472.12128684277315,1154.0542722973776,262.0995976583729,0.04359184732144684,89.20000000000006,0.27142024003272514,33.75868541091907,1.0
