$Temperature file for Wangjiaba upstream inflow,,
,,
JDAY,T,
352.000,2.673,
353.000,3.391,
354.000,6.088,
355.000,7.061,
356.000,6.530,
357.000,6.501,
358.000,7.370,
359.000,8.742,
360.000,9.212,
361.000,10.345,
362.000,4.536,
363.000,3.728,
364.000,2.414,
365.000,3.742,
